#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_06853 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=354,-,-,Y (0.633),Non-effector
FOXG_01962 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=250,-,-,Y (0.812),Non-effector
FOXG_15744 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=374,-,-,Y (0.865),Non-effector
FOXG_22903 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=325,-,-,Y (0.708),Non-effector
FOXG_11703 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=581,-,-,Y (0.866),Non-effector
FOXG_13102 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=467,-,-,Y (0.636),Non-effector
FOXG_12371 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1045,-,-,Y (0.95),Non-effector
FOXG_17141 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=369,-,-,Y (0.716),Non-effector
FOXG_09788 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=654,-,-,Y (0.902),Non-effector
FOXG_21785 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=223,-,Y (0.803),-,Apoplastic effector
FOXG_01953 | Fusarium oxysporum f. sp. lycopersici 4287 | licheninase | protein | length=373,-,-,Y (0.57),Non-effector
FOXG_10357 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=479,-,-,Y (0.79),Non-effector
FOXG_03339 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=404,-,-,Y (0.786),Non-effector
FOXG_08873 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.811),Non-effector
FOXG_16811 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=494,-,-,Y (0.9),Non-effector
FOXG_14577 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.801),Non-effector
FOXG_05539 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=260,Y (0.772),-,-,Cytoplasmic effector
FOXG_05128 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=139,Y (0.569),Y (0.991),-,Apoplastic/cytoplasmic effector
FOXG_12312 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,Y (0.507),-,Apoplastic effector
FOXG_19035 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=376,Y (0.801),-,-,Cytoplasmic effector
FOXG_13366 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=247,-,Y (0.702),-,Apoplastic effector
FOXG_12039 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=540,-,-,Y (0.712),Non-effector
FOXG_07919 | Fusarium oxysporum f. sp. lycopersici 4287 | pirin (iron-binding nuclear protein) | protein | length=362,-,-,Y (0.645),Non-effector
FOXG_09614 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=387,-,-,Y (0.714),Non-effector
FOXG_13103 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase | protein | length=233,Y (0.608),Y (0.908),-,Apoplastic/cytoplasmic effector
FOXG_10764 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=341,-,Y (0.786),-,Apoplastic effector
FOXG_10971 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=409,-,-,Y (0.931),Non-effector
FOXG_17899 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1018,-,-,Y (0.897),Non-effector
FOXG_05711 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=600,-,-,Y (0.624),Non-effector
FOXG_03535 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=499,-,-,Y (0.84),Non-effector
FOXG_09138 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=111,-,-,Y (0.713),Non-effector
FOXG_15355 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=600,-,-,Y (0.869),Non-effector
FOXG_22371 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=181,-,-,Y (0.561),Non-effector
FOXG_22070 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=154,-,-,Y (0.674),Non-effector
FOXG_04412 | Fusarium oxysporum f. sp. lycopersici 4287 | lysophospholipase | protein | length=648,-,-,Y (0.923),Non-effector
FOXG_11257 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=151,-,-,Y (0.735),Non-effector
FOXG_13301 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=658,-,-,Y (0.785),Non-effector
FOXG_10230 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=340,-,-,Y (0.625),Non-effector
FOXG_13509 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,-,-,Y (0.865),Non-effector
FOXG_11571 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=272,Y (0.824),-,-,Cytoplasmic effector
FOXG_06939 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=607,-,-,Y (0.84),Non-effector
FOXG_00170 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=188,-,-,Y (0.748),Non-effector
FOXG_12163 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=381,-,-,Y (0.683),Non-effector
FOXG_15251 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1012,-,-,Y (0.927),Non-effector
FOXG_03514 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=328,-,-,Y (0.8),Non-effector
FOXG_13353 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-L-fucosidase | protein | length=609,-,-,Y (0.771),Non-effector
FOXG_13801 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=328,-,Y (0.506),-,Apoplastic effector
FOXG_21592 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=75,-,Y (0.742),-,Apoplastic effector
FOXG_19879 | Fusarium oxysporum f. sp. lycopersici 4287 | chitinase | protein | length=1444,-,-,Y (0.862),Non-effector
FOXG_03302 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=738,-,-,Y (0.861),Non-effector
FOXG_14250 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=247,-,-,Y (0.582),Non-effector
FOXG_12049 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=132,Y (0.614),Y (0.803),-,Apoplastic/cytoplasmic effector
"FOXG_03928 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,3(4)-beta-glucanase | protein | length=286",-,-,Y (0.79),Non-effector
FOXG_07004 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=157,Y (0.677),Y (0.592),-,Cytoplasmic/apoplastic effector
"FOXG_04992 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,4-beta-xylanase | protein | length=549",-,-,Y (0.718),Non-effector
FOXG_04532 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=398,-,Y (0.562),-,Apoplastic effector
FOXG_07758 | Fusarium oxysporum f. sp. lycopersici 4287 | prenylcysteine oxidase/farnesylcysteine lyase | protein | length=549,-,-,Y (0.891),Non-effector
FOXG_08449 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=473,-,-,Y (0.815),Non-effector
FOXG_03598 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=581,-,-,Y (0.835),Non-effector
FOXG_03486 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=154,Y (0.638),Y (0.705),-,Apoplastic/cytoplasmic effector
FOXG_01208 | Fusarium oxysporum f. sp. lycopersici 4287 | sialidase-1 | protein | length=1070,-,-,Y (0.757),Non-effector
FOXG_06355 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=164,-,-,Y (0.554),Non-effector
FOXG_04265 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=531,-,-,Y (0.91),Non-effector
FOXG_09953 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=224,Y (0.583),-,-,Cytoplasmic effector
FOXG_07600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=346,-,Y (0.526),-,Apoplastic effector
FOXG_18401 | Fusarium oxysporum f. sp. lycopersici 4287 | tyrosinase | protein | length=374,-,-,Y (0.898),Non-effector
FOXG_13562 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=186,-,Y (0.625),-,Apoplastic effector
FOXG_15099 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=674,-,-,Y (0.863),Non-effector
FOXG_10324 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.719),Non-effector
FOXG_00166 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=303,-,-,Y (0.69),Non-effector
FOXG_16157 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=354,-,-,Y (0.633),Non-effector
FOXG_22820 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=173,Y (0.555),-,-,Cytoplasmic effector
FOXG_03309 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=340,Y (0.661),-,-,Cytoplasmic effector
FOXG_13632 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=117,-,-,Y (0.624),Non-effector
FOXG_01946 | Fusarium oxysporum f. sp. lycopersici 4287 | CAMK/CAMK1/CAMK1-CMK protein kinase | protein | length=368,Y (0.695),-,-,Cytoplasmic effector
FOXG_10827 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1085,-,-,Y (0.758),Non-effector
FOXG_12674 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=576,-,-,Y (0.957),Non-effector
FOXG_04114 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=198,-,-,Y (0.657),Non-effector
FOXG_15179 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=337,-,-,Y (0.866),Non-effector
FOXG_03797 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=841,-,-,Y (0.988),Non-effector
FOXG_05878 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=381,Y (0.608),Y (0.733),-,Apoplastic/cytoplasmic effector
FOXG_11209 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=376,-,-,Y (0.831),Non-effector
FOXG_08270 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=662,-,-,Y (0.703),Non-effector
FOXG_01382 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=433,-,-,Y (0.567),Non-effector
FOXG_09554 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=534,-,-,Y (0.941),Non-effector
FOXG_08834 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1710,-,-,Y (0.829),Non-effector
FOXG_13585 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=138,-,-,Y (0.611),Non-effector
FOXG_03944 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-fructofuranosidase | protein | length=546,-,-,Y (0.842),Non-effector
FOXG_05987 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1315,-,-,Y (0.96),Non-effector
"FOXG_01932 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,3(4)-beta-glucanase | protein | length=520",-,Y (0.617),-,Apoplastic effector
FOXG_11384 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=316,-,-,Y (0.857),Non-effector
FOXG_13763 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=492,-,-,Y (0.871),Non-effector
FOXG_13476 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=523,-,-,Y (0.712),Non-effector
FOXG_08925 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=332,-,-,Y (0.906),Non-effector
FOXG_13198 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=139,-,Y (0.777),-,Apoplastic effector
FOXG_16792 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=277,-,Y (0.603),-,Apoplastic effector
FOXG_12050 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,Y (0.603),Y (0.536),-,Cytoplasmic/apoplastic effector
FOXG_16885 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=350,-,-,Y (0.859),Non-effector
FOXG_03298 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=479,-,Y (0.597),-,Apoplastic effector
FOXG_02902 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=748,-,-,Y (0.9),Non-effector
FOXG_06430 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=464,-,Y (0.566),-,Apoplastic effector
FOXG_21794 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=457,-,-,Y (0.859),Non-effector
FOXG_11300 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=242,-,-,Y (0.75),Non-effector
FOXG_00406 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=349,-,-,Y (0.732),Non-effector
FOXG_16880 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase | protein | length=382,-,-,Y (0.793),Non-effector
FOXG_00281 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=515,-,-,Y (0.853),Non-effector
FOXG_04597 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-galactosidase 2 | protein | length=744,-,-,Y (0.934),Non-effector
FOXG_05024 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=250,-,-,Y (0.75),Non-effector
FOXG_18458 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=112,-,-,Y (0.765),Non-effector
FOXG_05686 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=157,-,-,Y (0.623),Non-effector
FOXG_14383 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=674,-,-,Y (0.863),Non-effector
FOXG_16902 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-N-arabinofuranosidase B | protein | length=499,-,Y (0.544),-,Apoplastic effector
FOXG_15807 | Fusarium oxysporum f. sp. lycopersici 4287 | sarcosine oxidase | protein | length=393,-,-,Y (0.798),Non-effector
FOXG_02952 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=350,-,-,Y (0.641),Non-effector
"FOXG_06111 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha 1,6-mannosyltransferase | protein | length=389",Y (0.565),-,-,Cytoplasmic effector
FOXG_04555 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=330,Y (0.785),-,-,Cytoplasmic effector
FOXG_17634 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=534,-,-,Y (0.986),Non-effector
FOXG_13332 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=234,-,-,Y (0.639),Non-effector
FOXG_02582 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=499,-,-,Y (0.916),Non-effector
FOXG_13249 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase | protein | length=322,-,Y (0.567),-,Apoplastic effector
FOXG_14409 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=253,-,-,Y (0.523),Non-effector
FOXG_01496 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=556,-,-,Y (0.93),Non-effector
FOXG_12002 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=85,-,-,Y (0.668),Non-effector
FOXG_14508 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=143,Y (0.793),-,-,Cytoplasmic effector
FOXG_09894 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=335,-,Y (0.588),-,Apoplastic effector
FOXG_17575 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=376,-,Y (0.513),-,Apoplastic effector
FOXG_12362 | Fusarium oxysporum f. sp. lycopersici 4287 | acid phosphatase | protein | length=453,-,-,Y (0.699),Non-effector
FOXG_16195 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=310,-,-,Y (0.65),Non-effector
FOXG_11981 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=367,-,-,Y (0.822),Non-effector
FOXG_03090 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=589,-,-,Y (0.847),Non-effector
FOXG_13085 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=326,-,-,Y (0.925),Non-effector
FOXG_10795 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=415,-,-,Y (0.714),Non-effector
FOXG_13106 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=588,-,-,Y (0.899),Non-effector
FOXG_12739 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=220,-,-,Y (0.597),Non-effector
FOXG_14509 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=268,Y (0.698),Y (0.611),-,Cytoplasmic/apoplastic effector
FOXG_10404 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=674,-,-,Y (0.967),Non-effector
FOXG_04514 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=454,-,-,Y (0.747),Non-effector
FOXG_13160 | Fusarium oxysporum f. sp. lycopersici 4287 | rhamnogalacturonate lyase C | protein | length=662,-,-,Y (0.782),Non-effector
FOXG_11973 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=490,-,-,Y (0.703),Non-effector
FOXG_16569 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=145,-,Y (0.52),-,Apoplastic effector
FOXG_15798 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=286,-,-,Y (0.562),Non-effector
FOXG_03262 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=443,Y (0.543),Y (0.513),-,Cytoplasmic/apoplastic effector
FOXG_00474 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=263,-,Y (0.601),-,Apoplastic effector
FOXG_13762 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=115,-,Y (0.583),-,Apoplastic effector
FOXG_05617 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=377,-,-,Y (0.507),Non-effector
FOXG_04488 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=584,-,-,Y (0.981),Non-effector
FOXG_12896 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=576,-,-,Y (0.899),Non-effector
FOXG_13566 | Fusarium oxysporum f. sp. lycopersici 4287 | glucoamylase | protein | length=582,-,-,Y (0.815),Non-effector
FOXG_00453 | Fusarium oxysporum f. sp. lycopersici 4287 | L-asparaginase | protein | length=487,-,-,Y (0.941),Non-effector
FOXG_05872 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=274,-,-,Y (0.651),Non-effector
FOXG_09559 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=306,-,-,Y (0.789),Non-effector
FOXG_17332 | Fusarium oxysporum f. sp. lycopersici 4287 | chitinase | protein | length=432,-,-,Y (0.731),Non-effector
FOXG_05923 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=510,-,-,Y (0.668),Non-effector
FOXG_05935 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=235,-,-,Y (0.781),Non-effector
FOXG_12859 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=98,-,Y (0.663),-,Apoplastic effector
FOXG_11959 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=585,-,-,Y (0.846),Non-effector
FOXG_09888 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=577,-,-,Y (0.926),Non-effector
FOXG_13051 | Fusarium oxysporum f. sp. lycopersici 4287 | endopolygalacturonase 1 | protein | length=360,-,Y (0.602),-,Apoplastic effector
FOXG_04850 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=442,-,-,Y (0.748),Non-effector
FOXG_14489 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,-,Y (0.506),-,Apoplastic effector
FOXG_14329 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1173,-,-,Y (0.866),Non-effector
FOXG_02748 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=565,-,-,Y (0.928),Non-effector
FOXG_06163 | Fusarium oxysporum f. sp. lycopersici 4287 | glucose-regulated protein | protein | length=663,Y (0.609),-,-,Cytoplasmic effector
