# ID,Prediction,OTHER,SP(Sec/SPI),CS Position
AF-A0A093ZW93-F1-model_v4_2,NO_SP,0.999817,0.000185,
AF-C4JIS5-F1-model_v4,SP,0.000762,0.99922,CS pos: 20-21. Pr: 0.9545
AF-A0A094AIR3-F1-model_v4,SP,0.000268,0.999706,CS pos: 29-30. Pr: 0.9069
AF-N4VKF1-F1-model_v4,SP,0.000857,0.999131,CS pos: 27-28. Pr: 0.8184
AF-R1ECQ5-F1-model_v4,SP,0.000429,0.999556,CS pos: 34-35. Pr: 0.4104
AF-M7TXD1-F1-model_v4,NO_SP,0.99887,0.001159,
AF-A0A094HNM2-F1-model_v4,NO_SP,0.999946,0.000055,
AF-A0A1J9REZ4-F1-model_v4,NO_SP,0.999995,0.000015,
AF-A0A5N7API5-F1-model_v4,NO_SP,0.996837,0.003169,
AF-A0A5N6G361-F1-model_v4,SP,0.000266,0.999706,CS pos: 22-23. Pr: 0.9624
AF-A0A1Y3NLK6-F1-model_v4,SP,0.000281,0.999696,CS pos: 24-25. Pr: 0.4450
AF-A0A167VXH4-F1-model_v4,NO_SP,0.999578,0.00045,
AF-G9NB57-F1-model_v4,SP,0.000247,0.999737,CS pos: 25-26. Pr: 0.8967
AF-A0A177CJV0-F1-model_v4,NO_SP,1.000066,0,
AF-A0A444RL89-F1-model_v4,NO_SP,1.000032,0,
AF-A0A094GC71-F1-model_v4,NO_SP,0.999652,0.000381,
AF-A0A0N8PZD2-F1-model_v4,NO_SP,1.000045,0.000001,
AF-S8BHG8-F1-model_v4,SP,0.000252,0.999729,CS pos: 18-19. Pr: 0.9641
AF-A0A1E4SY04-F1-model_v4,NO_SP,1.000051,0,
AF-A0A178DIN7-F1-model_v4,NO_SP,0.996231,0.003782,
AF-A0A238F7H8-F1-model_v4,NO_SP,0.999979,0.000074,
AF-A0A194V7B3-F1-model_v4,NO_SP,1.00008,0,
AF-S3D2G7-F1-model_v4,NO_SP,0.996158,0.003857,
AF-A0A232LQE2-F1-model_v4,SP,0.000235,0.99972,CS pos: 19-20. Pr: 0.9841
AF-A0A4Z1KJN0-F1-model_v4,SP,0.018206,0.981746,CS pos: 26-27. Pr: 0.9044
AF-A0A2X0MKP5-F1-model_v4,SP,0.000293,0.999683,CS pos: 17-18. Pr: 0.9770
AF-S8ADS7-F1-model_v4,NO_SP,0.60582,0.394174,
AF-A0A2J5I6V3-F1-model_v4,SP,0.000212,0.999781,CS pos: 25-26. Pr: 0.9481
AF-S8ADS7-F1-model_v4_2,NO_SP,0.60582,0.394174,
AF-A0A0C3H453-F1-model_v4,NO_SP,0.988687,0.01133,
AF-A0A319DST4-F1-model_v4,NO_SP,1.000053,0.000003,
AF-A0A0D2XM95-F1-model_v4,NO_SP,1.000059,0,
AF-F9X4X1-F1-model_v4,NO_SP,0.994208,0.005834,
AF-A0A1B8DA48-F1-model_v4,NO_SP,1.00001,0.00004,
AF-A0A2V1BYP4-F1-model_v4,SP,0.000276,0.999693,CS pos: 24-25. Pr: 0.9670
AF-A0A0B7KPK7-F1-model_v4,NO_SP,1.000056,0,
AF-E3KA77-F1-model_v4,SP,0.00102,0.998966,CS pos: 22-23. Pr: 0.9437
AF-A0A6A6YRI8-F1-model_v4,NO_SP,1.000048,0,
AF-A0A2S4W2B0-F1-model_v4,NO_SP,0.999266,0.00073,
AF-A0A2N3NKM7-F1-model_v4,SP,0.000246,0.999725,CS pos: 23-24. Pr: 0.9724
AF-A0A1D9PWX6-F1-model_v4,SP,0.000286,0.999685,CS pos: 26-27. Pr: 0.8543
AF-M2R073-F1-model_v4,SP,0.00023,0.999754,CS pos: 23-24. Pr: 0.9786
AF-A0A0B1P0I6-F1-model_v4,NO_SP,1.000053,0,
AF-A0A1L7UBK4-F1-model_v4,NO_SP,1.000043,0,
AF-A0A229XUI9-F1-model_v4,SP,0.000415,0.999549,CS pos: 22-23. Pr: 0.9221
AF-A0A6A6BBZ4-F1-model_v4,NO_SP,1.000014,0.000057,
AF-A0A2J6TRD7-F1-model_v4,NO_SP,1.000035,0,
AF-A0A423VRW7-F1-model_v4,SP,0.11027,0.889674,CS pos: 19-20. Pr: 0.7873
AF-A0A3D8RVE1-F1-model_v4,SP,0.000284,0.999682,CS pos: 18-19. Pr: 0.9666
AF-A0A4Y7PQX3-F1-model_v4,SP,0.000254,0.999718,CS pos: 20-21. Pr: 0.9794
AF-A0A5M3MBT6-F1-model_v4,SP,0.000209,0.999751,CS pos: 18-19. Pr: 0.9745
AF-A0A4Z1G3R8-F1-model_v4,SP,0.006933,0.993057,CS pos: 26-27. Pr: 0.9149
AF-A0A559M4V3-F1-model_v4,NO_SP,1.000061,0,
AF-Q0CDB1-F1-model_v4,NO_SP,1.000006,0.000038,
AF-A0A094DA97-F1-model_v4,NO_SP,1.000047,0.000004,
AF-A0A2J6SSY9-F1-model_v4,SP,0.000247,0.999737,CS pos: 24-25. Pr: 0.9514
AF-A0A6A5W127-F1-model_v4,SP,0.000276,0.999707,CS pos: 23-24. Pr: 0.9797
AF-W3VPQ7-F1-model_v4,SP,0.000558,0.999412,CS pos: 27-28. Pr: 0.9462
AF-A0A420I6L5-F1-model_v4,NO_SP,1.000064,0,
AF-A0A433A0I0-F1-model_v4,SP,0.000206,0.999786,CS pos: 20-21. Pr: 0.9745
AF-A0A219AQW7-F1-model_v4,NO_SP,0.998689,0.001336,
AF-G1XSB4-F1-model_v4,SP,0.000286,0.999682,CS pos: 23-24. Pr: 0.9782
AF-A0A409XV56-F1-model_v4,SP,0.000291,0.999691,CS pos: 22-23. Pr: 0.9851
AF-A0A5J5F3E6-F1-model_v4,SP,0.000199,0.99975,CS pos: 18-19. Pr: 0.9759
AF-A0A0J0XPW4-F1-model_v4,SP,0.000236,0.999717,CS pos: 17-18. Pr: 0.9785
AF-A0A7C8R8C7-F1-model_v4,SP,0.000286,0.999682,CS pos: 23-24. Pr: 0.9782
AF-A0A086ST65-F1-model_v4,SP,0.000325,0.999669,CS pos: 30-31. Pr: 0.7558
AF-A0A318Y8B5-F1-model_v4,SP,0.000264,0.999697,CS pos: 28-29. Pr: 0.9475
AF-A0A4Y7PQX3-F1-model_v4_2,SP,0.000254,0.999718,CS pos: 20-21. Pr: 0.9794
AF-A0A316ZES7-F1-model_v4,SP,0.000249,0.999731,CS pos: 25-26. Pr: 0.8043
AF-A0A167DDE6-F1-model_v4,NO_SP,0.980743,0.019265,
AF-A0A2H3IS35-F1-model_v4,NO_SP,0.989992,0.01003,
AF-A7F053-F1-model_v4,NO_SP,0.991514,0.008506,
AF-A0A6G1HUV5-F1-model_v4,SP,0.149135,0.850843,CS pos: 18-19. Pr: 0.7975
AF-A0A4Z1NWZ8-F1-model_v4,SP,0.001032,0.99891,CS pos: 30-31. Pr: 0.6630
AF-A0A1E1LKR0-F1-model_v4,SP,0.000229,0.999741,CS pos: 24-25. Pr: 0.9623
AF-A0A6A5W127-F1-model_v4_2,SP,0.000276,0.999707,CS pos: 23-24. Pr: 0.9797
AF-G7DYK1-F1-model_v4,NO_SP,1.000064,0,
AF-F4RVM9-F1-model_v4,SP,0.00602,0.993951,CS pos: 22-23. Pr: 0.8726
AF-A0A3E2HNH1-F1-model_v4,NO_SP,0.999907,0.00013,
AF-A0A0W0EXD1-F1-model_v4,SP,0.000422,0.99954,CS pos: 24-25. Pr: 0.9750
AF-A0A0F4ZCZ2-F1-model_v4,NO_SP,0.785694,0.214308,
AF-A0A427XDL2-F1-model_v4,SP,0.00117,0.998785,CS pos: 32-33. Pr: 0.9654
AF-A0A5N5J9N7-F1-model_v4,SP,0.00019,0.999776,CS pos: 23-24. Pr: 0.9719
AF-U4LG37-F1-model_v4,SP,0.000243,0.999751,CS pos: 27-28. Pr: 0.9190
AF-K1WCN3-F1-model_v4,NO_SP,1.000048,0,
AF-A0A093Y011-F1-model_v4,SP,0.000249,0.999695,CS pos: 18-19. Pr: 0.9796
AF-A0A0G2EH31-F1-model_v4,SP,0.000232,0.999724,CS pos: 21-22. Pr: 0.9711
AF-A0A177DIL1-F1-model_v4,SP,0.377696,0.622308,CS pos: 17-18. Pr: 0.5917
AF-A0A232M0I0-F1-model_v4,SP,0.00062,0.999341,CS pos: 19-20. Pr: 0.9524
AF-A0A4R0RZY2-F1-model_v4,SP,0.000328,0.999655,CS pos: 21-22. Pr: 0.9730
AF-A0A6A6NUS6-F1-model_v4,SP,0.000232,0.999759,CS pos: 20-21. Pr: 0.9784
AF-A0A1R0GSR4-F1-model_v4,NO_SP,1.00006,0,
AF-A0A2H3DWD1-F1-model_v4,SP,0.000238,0.999744,CS pos: 21-22. Pr: 0.9845
AF-A0A178ABG6-F1-model_v4,SP,0.001736,0.998218,CS pos: 16-17. Pr: 0.9404
AF-A0A6A6ZYU3-F1-model_v4,SP,0.00042,0.999548,CS pos: 18-19. Pr: 0.9556
AF-A0A5B0M6G3-F1-model_v4,NO_SP,0.999904,0.000112,
AF-A0A3A2ZNT2-F1-model_v4,NO_SP,0.999949,0.00009,
AF-A0A4Q4TK64-F1-model_v4,NO_SP,1.000052,0.000004,
AF-F4R416-F1-model_v4,SP,0.000952,0.999036,CS pos: 27-28. Pr: 0.3638
AF-A0A094CGR7-F1-model_v4,NO_SP,0.995848,0.004167,
AF-A0A428RY78-F1-model_v4,SP,0.000221,0.999757,CS pos: 19-20. Pr: 0.9811
AF-A0A366PNY6-F1-model_v4,NO_SP,1.000055,0,
AF-A0A2K0WKG1-F1-model_v4,SP,0.000357,0.999634,CS pos: 18-19. Pr: 0.9824
AF-A0A2H3GFC4-F1-model_v4,NO_SP,1.000058,0,
AF-A0A427XDL2-F1-model_v4_2,SP,0.00117,0.998785,CS pos: 32-33. Pr: 0.9654
AF-A0A4Q4U123-F1-model_v4,SP,0.000435,0.999542,CS pos: 25-26. Pr: 0.9599
AF-F4S5D7-F1-model_v4,NO_SP,0.999793,0.000253,
AF-A0A0G2HTM2-F1-model_v4,SP,0.000284,0.99968,CS pos: 17-18. Pr: 0.8430
AF-A0A371CX80-F1-model_v4,SP,0.000224,0.999745,CS pos: 21-22. Pr: 0.9342
AF-A0A0G2G9D8-F1-model_v4,SP,0.270709,0.729282,CS pos: 18-19. Pr: 0.6929
AF-A0A428QWT3-F1-model_v4,SP,0.274211,0.725776,CS pos: 46-47. Pr: 0.5024
AF-A0A0D7BPM0-F1-model_v4,SP,0.186363,0.813604,CS pos: 25-26. Pr: 0.5835
AF-I4YIB2-F1-model_v4,SP,0.000341,0.999623,CS pos: 18-19. Pr: 0.9582
AF-A0A094J514-F1-model_v4,SP,0.000304,0.999665,CS pos: 20-21. Pr: 0.9809
AF-A0A2J6RPD6-F1-model_v4,SP,0.00029,0.999683,CS pos: 16-17. Pr: 0.9534
AF-U1HXY0-F1-model_v4,SP,0.000214,0.999739,CS pos: 20-21. Pr: 0.9786
AF-A0A5N6W2P1-F1-model_v4,SP,0.000277,0.999703,CS pos: 18-19. Pr: 0.9710
AF-A0A067MIN1-F1-model_v4,SP,0.000254,0.999723,CS pos: 19-20. Pr: 0.9507
AF-A0A446BNC5-F1-model_v4,NO_SP,1.000044,0.000002,
AF-A0A3F3QIP5-F1-model_v4,SP,0.000226,0.999763,CS pos: 23-24. Pr: 0.9740
AF-A0A2T9ZFV3-F1-model_v4,SP,0.00019,0.999778,CS pos: 19-20. Pr: 0.9799
AF-M7WPS6-F1-model_v4,SP,0.000225,0.999745,CS pos: 20-21. Pr: 0.9811
AF-A0A364MRS7-F1-model_v4,NO_SP,1.000026,0.000004,
AF-A0A1Y2FHR6-F1-model_v4,SP,0.000295,0.999683,CS pos: 24-25. Pr: 0.5440
AF-A0A0C3HQA5-F1-model_v4,SP,0.000197,0.999789,CS pos: 18-19. Pr: 0.9838
AF-A0A0D2N817-F1-model_v4,SP,0.000373,0.99961,CS pos: 24-25. Pr: 0.8643
AF-A0A094H189-F1-model_v4,SP,0.000201,0.99979,CS pos: 19-20. Pr: 0.9802
AF-A0A2N5U4H4-F1-model_v4,SP,0.000275,0.99969,CS pos: 21-22. Pr: 0.9476
AF-A0A0F7U2X6-F1-model_v4,NO_SP,1.000073,0,
AF-A0A1L9RST0-F1-model_v4,SP,0.000383,0.99957,CS pos: 17-18. Pr: 0.9751
AF-A0A1G4ARB7-F1-model_v4,SP,0.000264,0.999722,CS pos: 29-30. Pr: 0.6694
AF-A0A5C6T253-F1-model_v4,NO_SP,1.000052,0,
AF-A0A1Y2FRK6-F1-model_v4,SP,0.00031,0.999691,CS pos: 16-17. Pr: 0.9373
AF-A0A4V4HDQ8-F1-model_v4,SP,0.014523,0.985444,CS pos: 41-42. Pr: 0.8554
AF-A0A0D6EFE5-F1-model_v4,SP,0.000332,0.99964,CS pos: 20-21. Pr: 0.9734
AF-W9PH19-F1-model_v4,NO_SP,1.000057,0,
AF-A0A5C3F1R5-F1-model_v4,SP,0.00025,0.999733,CS pos: 27-28. Pr: 0.9731
AF-A0A1Y2AQ19-F1-model_v4,SP,0.000362,0.999614,CS pos: 30-31. Pr: 0.3352
AF-A0A1L9WF54-F1-model_v4,SP,0.000223,0.999734,CS pos: 16-17. Pr: 0.9728
AF-A0A5N7BHJ5-F1-model_v4,SP,0.000253,0.999731,CS pos: 17-18. Pr: 0.9778
AF-A0A319CUF1-F1-model_v4,SP,0.000349,0.999636,CS pos: 27-28. Pr: 0.9421
AF-F4R8P0-F1-model_v4,SP,0.326998,0.672988,CS pos: 21-22. Pr: 0.3839
AF-H1VAF4-F1-model_v4,SP,0.000265,0.999727,CS pos: 18-19. Pr: 0.9750
AF-A0A366S133-F1-model_v4,NO_SP,1.000023,0.000029,
AF-A0A4T0FE20-F1-model_v4,SP,0.000448,0.999504,CS pos: 23-24. Pr: 0.6273
AF-I2G5A7-F1-model_v4,SP,0.000364,0.999595,CS pos: 23-24. Pr: 0.9202
AF-A0A5N5KJC0-F1-model_v4,SP,0.476602,0.523394,CS pos: 48-49. Pr: 0.3668
AF-A0A1E1M3V6-F1-model_v4,NO_SP,1.000053,0,
AF-A0A0C9UWH8-F1-model_v4,SP,0.000222,0.999771,CS pos: 19-20. Pr: 0.9881
AF-C9SIL9-F1-model_v4,NO_SP,0.987489,0.012539,
AF-A0A433D9V0-F1-model_v4,SP,0.0005,0.99947,CS pos: 18-19. Pr: 0.7629
AF-A0A1G4ARB7-F1-model_v4_2,SP,0.000264,0.999722,CS pos: 29-30. Pr: 0.6694
AF-A0A3M7NSE0-F1-model_v4,NO_SP,1.000061,0,
AF-R0IXM4-F1-model_v4,NO_SP,1.00002,0.000011,
AF-A0A427XE07-F1-model_v4,SP,0.000723,0.999229,CS pos: 32-33. Pr: 0.9708
AF-W7HT04-F1-model_v4,SP,0.000993,0.999003,CS pos: 22-23. Pr: 0.9649
AF-A0A2X0LKV7-F1-model_v4,NO_SP,0.975992,0.024013,
AF-A0A2S4V7B0-F1-model_v4,SP,0.000362,0.999633,CS pos: 21-22. Pr: 0.9754
AF-A0A0D7B232-F1-model_v4,SP,0.000229,0.99973,CS pos: 21-22. Pr: 0.9699
AF-A0A0N8H7M9-F1-model_v4,SP,0.000242,0.999735,CS pos: 20-21. Pr: 0.9809
AF-A0A2T9YMF1-F1-model_v4,SP,0.000237,0.999728,CS pos: 21-22. Pr: 0.9797
AF-A0A0C9WZA3-F1-model_v4,SP,0.000238,0.999736,CS pos: 20-21. Pr: 0.9404
AF-A0A2C6AF80-F1-model_v4,SP,0.000405,0.999567,CS pos: 15-16. Pr: 0.9511
AF-A0A2S5BHA8-F1-model_v4,SP,0.000955,0.99904,CS pos: 20-21. Pr: 0.9675
AF-A0A0C3SAU1-F1-model_v4,SP,0.000286,0.999693,CS pos: 28-29. Pr: 0.7483
AF-A0A2T4CH24-F1-model_v4,NO_SP,1.000033,0.000004,
AF-F4R776-F1-model_v4,SP,0.000501,0.9995,CS pos: 21-22. Pr: 0.9724
AF-A0A409WNZ9-F1-model_v4,SP,0.001816,0.998182,CS pos: 21-22. Pr: 0.9440
AF-A0A6A6TI25-F1-model_v4,NO_SP,0.727662,0.272352,
AF-A0A5C5G6D8-F1-model_v4,NO_SP,1.000041,0.000001,
AF-A0A409XSN2-F1-model_v4,SP,0.000264,0.999723,CS pos: 22-23. Pr: 0.9711
AF-A0A4Q1BQ11-F1-model_v4,SP,0.000212,0.999756,CS pos: 17-18. Pr: 0.9851
AF-A0A0J9VHW5-F1-model_v4,NO_SP,1.000056,0,
AF-U5HIP1-F1-model_v4,NO_SP,1.000041,0,
AF-A0A316Z189-F1-model_v4,SP,0.001734,0.998238,CS pos: 22-23. Pr: 0.6585
AF-A0A0C9TWY7-F1-model_v4,SP,0.100171,0.899811,CS pos: 45-46. Pr: 0.8201
AF-R9P6K2-F1-model_v4,SP,0.000356,0.999607,CS pos: 24-25. Pr: 0.9434
AF-A0A284S921-F1-model_v4,NO_SP,0.705312,0.29468,
AF-U1G9L9-F1-model_v4,SP,0.000241,0.999732,CS pos: 19-20. Pr: 0.9803
AF-A0A5C3N4F1-F1-model_v4,NO_SP,0.901037,0.099008,
AF-A0A420TIK6-F1-model_v4,NO_SP,1.000057,0,
AF-B8P3B9-F1-model_v4,SP,0.000263,0.999724,CS pos: 32-33. Pr: 0.7159
AF-A0A5C5FUR2-F1-model_v4,NO_SP,1.000054,0.000002,
AF-A0A086TM79-F1-model_v4,SP,0.000219,0.99976,CS pos: 26-27. Pr: 0.9708
AF-K5X8M8-F1-model_v4,NO_SP,0.837694,0.162316,
AF-A0A7D8YYK0-F1-model_v4,SP,0.000293,0.999682,CS pos: 20-21. Pr: 0.9799
AF-A0A6A6NUS6-F1-model_v4_2,SP,0.000232,0.999759,CS pos: 20-21. Pr: 0.9784
AF-A0A7U2IC20-F1-model_v4,SP,0.000286,0.999675,CS pos: 19-20. Pr: 0.9725
AF-A0A1Y2VSX6-F1-model_v4,NO_SP,1.000061,0.000012,
AF-A0A094FJT8-F1-model_v4,SP,0.000202,0.999762,CS pos: 19-20. Pr: 0.9763
AF-A0A137QS04-F1-model_v4,NO_SP,1.000075,0,
AF-A0A0L0VXJ8-F1-model_v4,SP,0.148024,0.851956,CS pos: 27-28. Pr: 0.7978
AF-A0A3D8S5N2-F1-model_v4,SP,0.000296,0.999648,CS pos: 20-21. Pr: 0.9765
AF-A0A1B8FML3-F1-model_v4,SP,0.036731,0.963251,CS pos: 31-32. Pr: 0.9242
AF-A0A1V1TLT6-F1-model_v4,SP,0.000231,0.999754,CS pos: 20-21. Pr: 0.9484
AF-A0A2V1BEL9-F1-model_v4,NO_SP,0.998928,0.001097,
AF-A0A1X2GDF2-F1-model_v4,NO_SP,0.922357,0.077674,
AF-A0A6M7YTJ2-F1-model_v4,SP,0.000825,0.999163,CS pos: 19-20. Pr: 0.9622
AF-A0A517L1K9-F1-model_v4,SP,0.000875,0.99908,CS pos: 26-27. Pr: 0.8267
AF-A0A5N5QBG6-F1-model_v4,SP,0.000207,0.999749,CS pos: 23-24. Pr: 0.9774
AF-F4RXZ8-F1-model_v4,SP,0.003597,0.996388,CS pos: 18-19. Pr: 0.8956
AF-A0A395RLM4-F1-model_v4,NO_SP,1.000053,0,
AF-A0A194S8Z6-F1-model_v4,SP,0.023054,0.97692,CS pos: 18-19. Pr: 0.9394
AF-A0A4U0VU63-F1-model_v4,NO_SP,1.000025,0.000007,
AF-A0A6A5XZZ5-F1-model_v4,SP,0.00037,0.999596,CS pos: 24-25. Pr: 0.8678
AF-A0A2G8RMS7-F1-model_v4,SP,0.000499,0.999469,CS pos: 23-24. Pr: 0.8055
AF-A0A6A6DA69-F1-model_v4,SP,0.001451,0.998527,CS pos: 19-20. Pr: 0.9450
AF-F9FQ77-F1-model_v4,SP,0.000298,0.999666,CS pos: 16-17. Pr: 0.9534
AF-A0A094E3L9-F1-model_v4,NO_SP,1.000087,0,
AF-A0A0K6G935-F1-model_v4,SP,0.000241,0.999731,CS pos: 23-24. Pr: 0.9765
AF-A0A1C7LVY0-F1-model_v4,SP,0.000228,0.999748,CS pos: 22-23. Pr: 0.9797
AF-E3QKH1-F1-model_v4,SP,0.00216,0.997803,CS pos: 23-24. Pr: 0.9141
AF-A0A166QTX3-F1-model_v4,SP,0.000222,0.999741,CS pos: 27-28. Pr: 0.6150
AF-A0A2N5T486-F1-model_v4,SP,0.001065,0.998934,CS pos: 19-20. Pr: 0.9679
AF-A0A4Z1PHZ7-F1-model_v4,NO_SP,0.994125,0.005927,
AF-A0A180GKW7-F1-model_v4,SP,0.002968,0.997015,CS pos: 21-22. Pr: 0.8054
AF-W9YXU6-F1-model_v4,SP,0.000244,0.999734,CS pos: 18-19. Pr: 0.9784
AF-A0A409YRY7-F1-model_v4,SP,0.000207,0.999777,CS pos: 23-24. Pr: 0.9595
AF-A0A7D9H1I7-F1-model_v4,NO_SP,0.999682,0.00033,
AF-A0A7R8AQH8-F1-model_v4,SP,0.000311,0.999693,CS pos: 19-20. Pr: 0.9484
AF-A0A0C4F253-F1-model_v4,SP,0.000234,0.99973,CS pos: 21-22. Pr: 0.9788
AF-G2QMV1-F1-model_v4,SP,0.00029,0.999683,CS pos: 18-19. Pr: 0.9801
