"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","taxid","taxname","taxlineage","query_effector_type_score","query_prediction","target_ID","database"
"18","FOXG_12469","AF-A0A4P9ZZN9-F1-model_v4","0.8647","0.5861","0.266","75","48","3","141","215","2","69","0.0007263","160","215637","Dimargaris cristalligena","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Kickxellomycotina;c_Dimargaritomycetes;o_Dimargaritales;f_Dimargaritaceae;g_Dimargaris;s_Dimargaris cristalligena",0.58,"Apoplastic","A0A4P9ZZN9","uniprot50"
"19","FOXG_12469","AF-A0A6C1LLE3-F1-model_v4","0.8628","0.6163","0.292","82","49","4","156","235","2","76","0.0001877","180","5501","Coccidioides immitis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Onygenales;f_Onygenaceae;g_Coccidioides;s_Coccidioides immitis",0.58,"Apoplastic","A0A6C1LLE3","uniprot50"
"20","FOXG_17307","AF-A0A6G1J3A6-F1-model_v4","0.8587","0.6557","0.272","77","54","2","18","93","1","76","0.0002897","195","1168545","Lentithecium fluviatile CBS 122367","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_dothideomyceta;c_Dothideomycetes;-_Pleosporomycetidae;o_Pleosporales;-_Massarineae;f_Lentitheciaceae;g_Lentithecium;s_Lentithecium fluviatile;-_Lentithecium fluviatile CBS 122367",0.931,"Apoplastic","A0A6G1J3A6","uniprot50"
"21","FOXG_14069","AF-A0A109FKV6-F1-model_v4","0.8481","0.6221","0.288","97","53","5","141","235","1","83","0.0001176","185","1305733","Rhodotorula sp. JG-1b","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Pucciniomycotina;c_Microbotryomycetes;o_Sporidiobolales;f_Sporidiobolaceae;g_Rhodotorula;-_unclassified Rhodotorula;s_Rhodotorula sp. JG-1b",0.573,"Apoplastic","A0A109FKV6","uniprot50"
"22","FOXG_12469","AF-A0A1Y2EY68-F1-model_v4","0.8423","0.6271","0.234","98","60","5","140","235","4","88","0.0001451","182","106004","Leucosporidium creatinivorum","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Pucciniomycotina;c_Microbotryomycetes;o_Leucosporidiales;f_Leucosporidiaceae;g_Leucosporidium;s_Leucosporidium creatinivorum",0.58,"Apoplastic","A0A1Y2EY68","uniprot50"
"23","FOXG_12469","AF-A0A0C9V7P3-F1-model_v4","0.839","0.5652","0.313","83","41","5","134","212","1","71","0.0007263","155","990650","Sphaerobolus stellatus SS14","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Phallomycetidae;o_Geastrales;f_Sphaerobolaceae;g_Sphaerobolus;s_Sphaerobolus stellatus;-_Sphaerobolus stellatus SS14",0.58,"Apoplastic","A0A0C9V7P3","uniprot50"
"24","FOXG_14069","AF-A0A0C9V7P3-F1-model_v4","0.8355","0.5617","0.301","83","42","5","134","212","1","71","0.0007108","155","990650","Sphaerobolus stellatus SS14","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Phallomycetidae;o_Geastrales;f_Sphaerobolaceae;g_Sphaerobolus;s_Sphaerobolus stellatus;-_Sphaerobolus stellatus SS14",0.573,"Apoplastic","A0A0C9V7P3","uniprot50"
"25","FOXG_12469","AF-A0A3N4J8G5-F1-model_v4","0.8288","0.6203","0.316","79","47","4","141","219","2","73","0.0004934","166","1336337","Choiromyces venosus 120613-1","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Choiromyces;s_Choiromyces venosus;-_Choiromyces venosus 120613-1",0.58,"Apoplastic","A0A3N4J8G5","uniprot50"
"26","FOXG_20914","AF-F9GAP4-F1-model_v4","0.8286","0.6764","0.277","83","55","2","54","131","2","84","0.0003768","172","660025","Fusarium oxysporum f. sp. conglutinans Fo5176","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Nectriaceae;g_Fusarium;-_Fusarium oxysporum species complex;s_Fusarium oxysporum;-_Fusarium oxysporum f. sp. conglutinans;-_Fusarium oxysporum f. sp. conglutinans Fo5176",0.5915,"Apoplastic/cytoplasmic","F9GAP4","uniprot50"
"27","FOXG_14069","AF-A0A3N4J8G5-F1-model_v4","0.8268","0.6217","0.316","79","47","4","141","219","2","73","0.0003083","172","1336337","Choiromyces venosus 120613-1","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Choiromyces;s_Choiromyces venosus;-_Choiromyces venosus 120613-1",0.573,"Apoplastic","A0A3N4J8G5","uniprot50"
"28","FOXG_14069","AF-A0A1Y2ETU3-F1-model_v4","0.8251","0.6114","0.257","101","52","8","141","235","1","84","0.0001729","176","106004","Leucosporidium creatinivorum","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Pucciniomycotina;c_Microbotryomycetes;o_Leucosporidiales;f_Leucosporidiaceae;g_Leucosporidium;s_Leucosporidium creatinivorum",0.573,"Apoplastic","A0A1Y2ETU3","uniprot50"
"29","FOXG_12469","AF-A0A1Y2ETU3-F1-model_v4","0.8245","0.6109","0.247","101","53","8","141","235","1","84","0.0001451","178","106004","Leucosporidium creatinivorum","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Pucciniomycotina;c_Microbotryomycetes;o_Leucosporidiales;f_Leucosporidiaceae;g_Leucosporidium;s_Leucosporidium creatinivorum",0.58,"Apoplastic","A0A1Y2ETU3","uniprot50"
"30","FOXG_14069","AF-A0A1Y3NQ72-F1-model_v4","0.8217","0.6123","0.285","84","53","3","141","224","1","77","0.0004251","166","73868","Piromyces sp. E2","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Chytridiomycota;-_Chytridiomycota incertae sedis;c_Neocallimastigomycetes;o_Neocallimastigales;f_Neocallimastigaceae;g_Piromyces;-_unclassified Piromyces;s_Piromyces sp. E2",0.573,"Apoplastic","A0A1Y3NQ72","uniprot50"
"31","FOXG_12469","AF-A0A367J110-F1-model_v4","0.8211","0.5783","0.255","86","55","5","153","235","1","80","0.0002763","166","4846","Rhizopus stolonifer","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Mucoromycotina;c_Mucoromycetes;o_Mucorales;-_Mucorineae;f_Rhizopodaceae;g_Rhizopus;s_Rhizopus stolonifer",0.58,"Apoplastic","A0A367J110","uniprot50"
"32","FOXG_14069","AF-A0A367J110-F1-model_v4","0.8209","0.5777","0.267","86","54","5","153","235","1","80","0.0001622","172","4846","Rhizopus stolonifer","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Mucoromycotina;c_Mucoromycetes;o_Mucorales;-_Mucorineae;f_Rhizopodaceae;g_Rhizopus;s_Rhizopus stolonifer",0.573,"Apoplastic","A0A367J110","uniprot50"
"33","FOXG_14069","AF-A0A0B7KMB5-F1-model_v4","0.8204","0.5373","0.318","69","41","3","152","218","3","67","0.0008619","148","29856","Clonostachys rosea","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Bionectriaceae;g_Clonostachys;s_Clonostachys rosea",0.573,"Apoplastic","A0A0B7KMB5","uniprot50"
"34","FOXG_17307","AF-A0A6A6SQ41-F1-model_v4","0.8168","0.6174","0.215","65","48","2","18","80","215","278","0.0001597","191","1314788","Lophiostoma macrostomum CBS 122681","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_dothideomyceta;c_Dothideomycetes;-_Pleosporomycetidae;o_Pleosporales;f_Lophiostomataceae;g_Lophiostoma;s_Lophiostoma macrostomum;-_Lophiostoma macrostomum CBS 122681",0.931,"Apoplastic","A0A6A6SQ41","uniprot50"
"35","FOXG_14069","AF-A0A067TGY0-F1-model_v4","0.8154","0.5959","0.222","99","55","5","141","235","2","82","0.0008619","156","685588","Galerina marginata CBS 339.88","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Agaricineae;f_Strophariaceae;g_Galerina;s_Galerina marginata;-_Galerina marginata CBS 339.88",0.573,"Apoplastic","A0A067TGY0","uniprot50"
"36","FOXG_14069","AF-A0A1B7NBU7-F1-model_v4","0.8148","0.7513","0.231","108","69","4","128","235","4","97","0.0001034","201","1314800","Rhizopogon vinicolor AM-OR11-026","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Boletales;-_Suillineae;f_Rhizopogonaceae;g_Rhizopogon;s_Rhizopogon vinicolor;-_Rhizopogon vinicolor AM-OR11-026",0.573,"Apoplastic","A0A1B7NBU7","uniprot50"
"37","FOXG_14069","AF-A0A015LUE2-F1-model_v4","0.8142","0.5448","0.259","81","52","5","157","235","2","76","0.000919","148","1432141","Rhizophagus irregularis DAOM 197198w","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Glomeromycotina;c_Glomeromycetes;o_Glomerales;f_Glomeraceae;g_Rhizophagus;s_Rhizophagus irregularis;-_Rhizophagus irregularis DAOM 197198w",0.573,"Apoplastic","A0A015LUE2","uniprot50"
"38","FOXG_12469","AF-A0A316Z893-F1-model_v4","0.8129","0.6345","0.226","84","52","4","136","219","1","71","0.0004934","166","58919","Tilletiopsis washingtonensis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Ustilaginomycotina;c_Exobasidiomycetes;o_Entylomatales;-_Entylomatales incertae sedis;g_Tilletiopsis;s_Tilletiopsis washingtonensis",0.58,"Apoplastic","A0A316Z893","uniprot50"
"39","FOXG_14570","AF-A0A1Y2TWA8-F1-model_v4","0.8124","0.8386","0.185","108","87","1","1","107","1","108","0.0003701","188","1001937","Hypoxylon sp. EC38","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Xylariomycetidae;o_Xylariales;f_Hypoxylaceae;g_Hypoxylon;-_unclassified Hypoxylon;s_Hypoxylon sp. EC38",0.861,"Cytoplasmic","A0A1Y2TWA8","uniprot50"
"40","FOXG_14069","AF-A0A316Z893-F1-model_v4","0.8122","0.636","0.226","84","52","4","136","219","1","71","0.0005155","166","58919","Tilletiopsis washingtonensis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Ustilaginomycotina;c_Exobasidiomycetes;o_Entylomatales;-_Entylomatales incertae sedis;g_Tilletiopsis;s_Tilletiopsis washingtonensis",0.573,"Apoplastic","A0A316Z893","uniprot50"
"41","FOXG_17307","AF-A0A1B8E6X3-F1-model_v4","0.8106","0.669","0.256","74","45","3","19","82","62","135","0.0003263","189","1524831","Pseudogymnoascus sp. 23342-1-I1","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Leotiomycetes;-_Leotiomycetes incertae sedis;f_Pseudeurotiaceae;g_Pseudogymnoascus;-_unclassified Pseudogymnoascus;s_Pseudogymnoascus sp. 23342-1-I1",0.931,"Apoplastic","A0A1B8E6X3","uniprot50"
"42","FOXG_12469","AF-A0A1Y3NQ72-F1-model_v4","0.8103","0.6111","0.289","83","52","3","141","223","1","76","0.0003813","166","73868","Piromyces sp. E2","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Chytridiomycota;-_Chytridiomycota incertae sedis;c_Neocallimastigomycetes;o_Neocallimastigales;f_Neocallimastigaceae;g_Piromyces;-_unclassified Piromyces;s_Piromyces sp. E2",0.58,"Apoplastic","A0A1Y3NQ72","uniprot50"
"43","FOXG_12469","AF-A0A316ZAF7-F1-model_v4","0.8097","0.6053","0.226","97","58","6","141","235","6","87","0.0006385","159","58919","Tilletiopsis washingtonensis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Ustilaginomycotina;c_Exobasidiomycetes;o_Entylomatales;-_Entylomatales incertae sedis;g_Tilletiopsis;s_Tilletiopsis washingtonensis",0.58,"Apoplastic","A0A316ZAF7","uniprot50"
"44","FOXG_14069","AF-A0A1Y2EY68-F1-model_v4","0.8096","0.6046","0.242","99","58","6","140","235","4","88","0.0002384","170","106004","Leucosporidium creatinivorum","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Pucciniomycotina;c_Microbotryomycetes;o_Leucosporidiales;f_Leucosporidiaceae;g_Leucosporidium;s_Leucosporidium creatinivorum",0.573,"Apoplastic","A0A1Y2EY68","uniprot50"
"45","FOXG_14069","AF-A0A316ZAF7-F1-model_v4","0.8094","0.6072","0.226","97","58","6","141","235","6","87","0.000919","156","58919","Tilletiopsis washingtonensis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Ustilaginomycotina;c_Exobasidiomycetes;o_Entylomatales;-_Entylomatales incertae sedis;g_Tilletiopsis;s_Tilletiopsis washingtonensis",0.573,"Apoplastic","A0A316ZAF7","uniprot50"
"46","FOXG_14570","AF-G2YAH4-F1-model_v4","0.809","0.819","0.18","111","90","1","4","113","3","113","0.0003029","188","999810","Botrytis cinerea T4","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Leotiomycetes;o_Helotiales;f_Sclerotiniaceae;g_Botrytis;s_Botrytis cinerea;-_Botrytis cinerea T4",0.861,"Cytoplasmic","G2YAH4","uniprot50"
"47","FOXG_17307","AF-A0A1L7WQJ3-F1-model_v4","0.807","0.6562","0.225","80","53","5","18","92","184","259","0.0002283","192","576137","Phialocephala subalpina","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Leotiomycetes;o_Helotiales;f_Mollisiaceae;g_Phialocephala;-_Phialocephala fortinii species complex;s_Phialocephala subalpina",0.931,"Apoplastic","A0A1L7WQJ3","uniprot50"
"48","FOXG_14570","AF-A0A6M7Z392-F1-model_v4","0.804","0.7399","0.347","69","44","1","38","106","87","154","0.0002833","178","660027","Fusarium oxysporum Fo47","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Nectriaceae;g_Fusarium;-_Fusarium oxysporum species complex;s_Fusarium oxysporum;-_Fusarium oxysporum Fo47",0.861,"Cytoplasmic","A0A6M7Z392","uniprot50"
"49","FOXG_12469","AF-A0A0D7BN45-F1-model_v4","0.7964","0.6533","0.25","96","58","5","140","235","20","101","0.0007263","163","1314674","Cylindrobasidium torrendii FP15055 ss-10","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Marasmiineae;f_Physalacriaceae;g_Cylindrobasidium;s_Cylindrobasidium torrendii;-_Cylindrobasidium torrendii FP15055 ss-10",0.58,"Apoplastic","A0A0D7BN45","uniprot50"
"50","FOXG_14069","AF-A0A0D7BN45-F1-model_v4","0.7949","0.6497","0.25","96","58","5","140","235","20","101","0.0003987","169","1314674","Cylindrobasidium torrendii FP15055 ss-10","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Marasmiineae;f_Physalacriaceae;g_Cylindrobasidium;s_Cylindrobasidium torrendii;-_Cylindrobasidium torrendii FP15055 ss-10",0.573,"Apoplastic","A0A0D7BN45","uniprot50"
"51","FOXG_12469","AF-A0A165P7V0-F1-model_v4","0.7915","0.6089","0.254","106","60","5","134","235","2","92","0.0003813","163","1314782","Neolentinus lepideus HHB14362 ss-1","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetes incertae sedis;o_Gloeophyllales;f_Gloeophyllaceae;g_Neolentinus;s_Neolentinus lepideus;-_Neolentinus lepideus HHB14362 ss-1",0.58,"Apoplastic","A0A165P7V0","uniprot50"
