query,target_ID,alntmscore,fident,evalue,taxid,taxname,query_effector_type_score,query_prediction,database,sequence_identity_global,sequence_identity_local,molecular_weight,num_tm_helices,signal_p,target_cysteine_percentage
FOXG_14069,A0A067TGY0,0.8154,0.222,0.0008619,685588,Galerina marginata CBS 339.88,0.573,Apoplastic,uniprot50,0.161702128,0.217391304,8871.32604,0,NO_SP,4.87804878
FOXG_14069,A0A1B7NBU7,0.8148,0.231,0.0001034,1314800,Rhizopogon vinicolor AM-OR11-026,0.573,Apoplastic,uniprot50,0.158798283,0.289473684,20823.91274,0,NO_SP,3.482587065
FOXG_14069,A0A1C1CDI9,0.814,0.371,1.50E-10,86049,Cladophialophora carrionii,0.573,Apoplastic,proteome,0.267489712,0.381818182,21439.57104,1,NO_SP,2.010050251
FOXG_12469,A0A316Z893,0.8129,0.226,0.0004934,58919,Tilletiopsis washingtonensis,0.58,Apoplastic,uniprot50,0.144680851,0.243902439,8870.99044,0,NO_SP,7.317073171
FOXG_14570,A0A1Y2TWA8,0.8124,0.185,0.0003701,1001937,Hypoxylon sp. EC38,0.861,Cytoplasmic,uniprot50,0.183098592,0.229166667,25682.56684,1,NO_SP,1.321585903
FOXG_14069,A0A316Z893,0.8122,0.226,0.0005155,58919,Tilletiopsis washingtonensis,0.573,Apoplastic,uniprot50,0.144680851,0.243902439,8870.99044,0,NO_SP,7.317073171
FOXG_17307,A0A1B8E6X3,0.8106,0.256,0.0003263,1524831,Pseudogymnoascus sp. 23342-1-I1,0.931,Apoplastic,uniprot50,0.195918367,0.36,16042.36174,0,SP,5.405405405
FOXG_12469,A0A316ZAF7,0.8097,0.226,0.0006385,58919,Tilletiopsis washingtonensis,0.58,Apoplastic,uniprot50,0.197247706,0.295081967,9130.20124,0,NO_SP,4.597701149
FOXG_14069,A0A1Y2EY68,0.8096,0.242,0.0002384,106004,Leucosporidium creatinivorum,0.573,Apoplastic,uniprot50,0.167400881,0.288135593,9244.07334,0,NO_SP,5.617977528
FOXG_14069,A0A316ZAF7,0.8094,0.226,0.000919,58919,Tilletiopsis washingtonensis,0.573,Apoplastic,uniprot50,0.19266055,0.278688525,9130.20124,0,NO_SP,4.597701149
FOXG_14570,G2YAH4,0.809,0.18,0.0003029,999810,Botrytis cinerea T4,0.861,Cytoplasmic,uniprot50,0.171662125,0.183486239,43064.93514,1,NO_SP,1.587301587
FOXG_17307,A0A1L7WQJ3,0.807,0.225,0.0002283,576137,Phialocephala subalpina,0.931,Apoplastic,uniprot50,0.2325,0.361702128,46273.04094,0,NO_SP,4.400977995
FOXG_14570,A0A6M7Z392,0.804,0.347,0.0002833,660027,Fusarium oxysporum Fo47,0.861,Cytoplasmic,uniprot50,0.147806005,0.341772152,49917.91744,0,NO_SP,1.789709172
FOXG_20914,A0A175WGW5,0.8014,0.28,1.84E-10,100816,Madurella mycetomatis,0.5915,Apoplastic/cytoplasmic,proteome,0.120160214,0.330275229,83024.51954,0,NO_SP,1.587301587
FOXG_12469,A0A0D7BN45,0.7964,0.25,0.0007263,1314674,Cylindrobasidium torrendii FP15055 ss-10,0.58,Apoplastic,uniprot50,0.18220339,0.342105263,17651.38664,0,NO_SP,4.142011834
FOXG_14069,A0A0D7BN45,0.7949,0.25,0.0003987,1314674,Cylindrobasidium torrendii FP15055 ss-10,0.573,Apoplastic,uniprot50,0.18220339,0.368421053,17651.38664,0,NO_SP,4.142011834
FOXG_12469,A0A165P7V0,0.7915,0.254,0.0003813,1314782,Neolentinus lepideus HHB14362 ss-1,0.58,Apoplastic,uniprot50,0.188034188,0.292682927,9790.82844,0,NO_SP,4.347826087
FOXG_12469,A0A066WF48,0.7914,0.256,0.0002763,1037660,Tilletiaria anomala UBC 951,0.58,Apoplastic,uniprot50,0.181818182,0.296296296,10150.75004,0,NO_SP,4.255319149
FOXG_14069,A0A165P7V0,0.7912,0.264,0.0003739,1314782,Neolentinus lepideus HHB14362 ss-1,0.573,Apoplastic,uniprot50,0.188034188,0.317073171,9790.82844,0,NO_SP,4.347826087
FOXG_14069,A0A066WF48,0.7907,0.256,0.0003987,1037660,Tilletiaria anomala UBC 951,0.573,Apoplastic,uniprot50,0.186147186,0.411764706,10150.75004,0,NO_SP,4.255319149
FOXG_12469,A0A1C1CDI9,0.7898,0.344,1.29E-10,86049,Cladophialophora carrionii,0.58,Apoplastic,proteome,0.271186441,0.390909091,21439.57104,1,NO_SP,2.010050251
FOXG_12469,A0A409WSU9,0.7882,0.218,0.0004626,231916,Gymnopilus dilepis,0.58,Apoplastic,uniprot50,0.163758389,0.25,82128.64134,0,NO_SP,1.073825503
FOXG_17307,H0EYU1,0.7831,0.228,0.0003464,1104152,Glarea lozoyensis 74030,0.931,Apoplastic,uniprot50,0.213438735,0.34375,26638.19484,0,NO_SP,4.273504274
FOXG_12469,A0A066V5U1,0.7805,0.259,0.000681,1287689,Rhizoctonia solani AG-8 WAC10335,0.58,Apoplastic,uniprot50,0.178723404,0.333333333,10039.35064,0,NO_SP,5.376344086
FOXG_12469,A0A0J0XN24,0.7802,0.237,0.0005613,879819,Cutaneotrichosporon oleaginosum,0.58,Apoplastic,uniprot50,0.140684411,0.289473684,26246.88994,1,SP,1.515151515
FOXG_14069,A0A4Y7PH38,0.779,0.179,0.0008619,50990,Rickenella mellea,0.573,Apoplastic,uniprot50,0.160869565,0.228571429,8973.72544,0,NO_SP,4.705882353
FOXG_14069,A0A2H3EBF3,0.7781,0.22,0.0002711,47427,Armillaria gallica,0.573,Apoplastic,uniprot50,0.146341463,0.714285714,29665.84844,0,SP,2.083333333
FOXG_12469,A0A0L6VTD4,0.7765,0.19,0.0001547,27349,Puccinia sorghi,0.58,Apoplastic,uniprot50,0.208695652,0.25,16157.70014,0,SP,5.921052632
FOXG_12469,A0A2H3EBF3,0.776,0.23,0.0002002,47427,Armillaria gallica,0.58,Apoplastic,uniprot50,0.142857143,0.714285714,29665.84844,0,SP,2.083333333
FOXG_14069,A0A0D9P8P2,0.7747,0.247,0.0001729,1291518,Metarhizium anisopliae BRIP 53293,0.573,Apoplastic,uniprot50,0.170212766,0.311111111,9074.21674,0,NO_SP,4.761904762
FOXG_12469,A0A0D9P8P2,0.7743,0.247,0.000176,1291518,Metarhizium anisopliae BRIP 53293,0.58,Apoplastic,uniprot50,0.170212766,0.277777778,9074.21674,0,NO_SP,4.761904762
FOXG_20914,A0A175VQT3,0.773,0.286,4.01E-11,100816,Madurella mycetomatis,0.5915,Apoplastic/cytoplasmic,proteome,0.117572693,0.330275229,87701.71334,0,NO_SP,1.629072682
FOXG_20914,A0A175VRI7,0.7706,0.231,8.09E-08,100816,Madurella mycetomatis,0.5915,Apoplastic/cytoplasmic,proteome,0.106918239,0.262295082,89789.77414,0,NO_SP,1.236093943
FOXG_10864,A0A067Q9S4,0.768,0.438,0.0004666,933084,Jaapia argillacea MUCL 33604,0.757,Apoplastic,uniprot50,0.31147541,0.578947368,8152.14494,0,SP,10.38961039
FOXG_12469,A0A0C4F8Z2,0.7665,0.203,0.0008812,630390,Puccinia triticina 1-1 BBBD Race 1,0.58,Apoplastic,uniprot50,0.152671756,0.265306122,27203.60144,0,SP,1.915708812
FOXG_14570,A0A0D1ZLH5,0.7648,0.176,0.0007719,91928,Exophiala spinifera,0.861,Cytoplasmic,uniprot50,0.194610778,0.191919192,46882.38924,0,NO_SP,2.444987775
FOXG_14069,A0A409WSU9,0.7641,0.216,0.0001966,231916,Gymnopilus dilepis,0.573,Apoplastic,uniprot50,0.165100671,0.25,82128.64134,0,NO_SP,1.073825503
FOXG_12469,A0A0C9V805,0.7637,0.229,0.000136,990650,Sphaerobolus stellatus SS14,0.58,Apoplastic,uniprot50,0.200854701,0.258426966,10165.39634,0,NO_SP,4.301075269
FOXG_12469,A0A0D2MA91,0.7635,0.234,0.0003143,945553,Hypholoma sublateritium FD-334 SS-4,0.58,Apoplastic,uniprot50,0.15,0.263157895,28419.40254,0,SP,1.428571429
FOXG_12469,A0A067MUU3,0.7623,0.228,0.0001051,930990,Botryobasidium botryosum FD-172 SS1,0.58,Apoplastic,uniprot50,0.176271186,0.315789474,29575.31024,0,SP,1.694915254
FOXG_14069,A0A1Q3EMP8,0.7592,0.256,0.0008082,5353,Lentinula edodes,0.573,Apoplastic,uniprot50,0.107438017,0.237288136,24617.00984,0,NO_SP,1.680672269
FOXG_12469,A0A427XHJ5,0.7581,0.228,0.000165,105984,Apiotrichum porosum,0.58,Apoplastic,uniprot50,0.164179104,0.325,27013.73124,0,SP,1.858736059
FOXG_12469,M5G3X3,0.7564,0.133,0.0004626,1858805,Dacryopinax primogenitus,0.58,Apoplastic,uniprot50,0.178723404,0.285714286,14380.96674,0,NO_SP,1.57480315
FOXG_14069,M5G3X3,0.7557,0.133,0.0007579,1858805,Dacryopinax primogenitus,0.573,Apoplastic,uniprot50,0.182978723,0.285714286,14380.96674,0,NO_SP,1.57480315
FOXG_14069,A0A0C4F8Z2,0.7512,0.22,0.0006665,630390,Puccinia triticina 1-1 BBBD Race 1,0.573,Apoplastic,uniprot50,0.15648855,0.285714286,27203.60144,0,SP,1.915708812
FOXG_14069,A0A1X6ML50,0.7454,0.2,0.0002097,670580,Postia placenta MAD-698-R-SB12,0.573,Apoplastic,uniprot50,0.179487179,0.727272727,11345.98944,0,NO_SP,4.807692308
FOXG_12469,A0A1X6ML50,0.7452,0.2,0.0001275,670580,Postia placenta MAD-698-R-SB12,0.58,Apoplastic,uniprot50,0.175213675,0.727272727,11345.98944,0,NO_SP,4.807692308
FOXG_14069,A0A150V1J0,0.7451,0.216,0.0001844,766039,Acidomyces richmondensis BFW,0.573,Apoplastic,uniprot50,0.144680851,0.208333333,22948.66694,0,NO_SP,2.816901408
FOXG_20914,A0A1C1CQ00,0.7447,0.244,2.04E-07,86049,Cladophialophora carrionii,0.5915,Apoplastic/cytoplasmic,proteome,0.13304721,0.272727273,79458.15684,0,NO_SP,2.857142857
FOXG_14570,A0A507B5X1,0.7443,0.241,0.0002318,1093900,Thyridium curvatum,0.861,Cytoplasmic,uniprot50,0.158690176,0.279069767,45565.47794,2,NO_SP,0.995024876
FOXG_22047,A7UNK4,0.7392,0.181,0.0002165,64660,Lyophyllum decastes,0.708,Apoplastic,swissprot,0.225,0.277777778,10282.40644,0,NO_SP,6.382978723
FOXG_22047,A7UNK4,0.7392,0.181,0.0008564,64660,Lyophyllum decastes,0.708,Apoplastic,uniprot50,0.225,0.277777778,10282.40644,0,NO_SP,6.382978723
FOXG_20914,A0A175VZ46,0.7387,0.202,1.79E-07,100816,Madurella mycetomatis,0.5915,Apoplastic/cytoplasmic,proteome,0.13253012,0.226890756,63793.44474,0,NO_SP,1.204819277
FOXG_14069,A0A2G5I358,0.7361,0.223,0.0001337,122368,Cercospora beticola,0.573,Apoplastic,uniprot50,0.140425532,0.230769231,23849.74144,0,SP,2.654867257
FOXG_14069,A0A4Y7PQ55,0.7361,0.252,0.0001034,50990,Rickenella mellea,0.573,Apoplastic,uniprot50,0.190909091,0.307692308,11388.62904,0,NO_SP,3.883495146
FOXG_14069,B0E170,0.7334,0.178,0.0004834,486041,Laccaria bicolor S238N-H82,0.573,Apoplastic,uniprot50,0.157446809,0.282608696,9447.80484,0,NO_SP,3.409090909
FOXG_12469,A0A0C4EZR7,0.7332,0.146,0.000136,630390,Puccinia triticina 1-1 BBBD Race 1,0.58,Apoplastic,uniprot50,0.152466368,0.195121951,11549.10834,0,NO_SP,6.481481481
FOXG_12469,B0E170,0.7325,0.168,0.0004067,486041,Laccaria bicolor S238N-H82,0.58,Apoplastic,uniprot50,0.153191489,0.282608696,9447.80484,0,NO_SP,3.409090909
FOXG_14069,A0A0H2R2I2,0.7319,0.246,0.0003506,27342,Schizopora paradoxa,0.573,Apoplastic,uniprot50,0.17370892,0.342857143,8629.26534,0,NO_SP,4.705882353
FOXG_12469,A0A0C9W4G2,0.7317,0.26,0.0003575,990650,Sphaerobolus stellatus SS14,0.58,Apoplastic,uniprot50,0.187234043,0.253731343,9621.73534,0,NO_SP,4.545454545
FOXG_12469,A0A0H2R2I2,0.7315,0.246,0.0004626,27342,Schizopora paradoxa,0.58,Apoplastic,uniprot50,0.17370892,0.319148936,8629.26534,0,NO_SP,4.705882353
FOXG_14570,A0A2S7QZ20,0.7304,0.238,0.0009433,2070412,Rutstroemia sp. NJR-2017a WRK4,0.861,Cytoplasmic,uniprot50,0.203125,0.268292683,22162.61184,1,NO_SP,2.051282051
FOXG_12469,E2LJS9,0.7296,0.327,0.0006385,554373,Moniliophthora perniciosa FA553,0.58,Apoplastic,uniprot50,0.156950673,0.358974359,13225.99184,0,NO_SP,2.586206897
FOXG_14570,K2SE83,0.7293,0.284,0.0003238,1126212,Macrophomina phaseolina MS6,0.861,Cytoplasmic,uniprot50,0.205555556,0.308641975,21479.82704,0,SP,0.523560209
FOXG_20914,A0A175VMP5,0.7275,0.228,1.17E-09,100816,Madurella mycetomatis,0.5915,Apoplastic/cytoplasmic,proteome,0.137071651,0.290322581,73236.65694,0,NO_SP,1.494768311
FOXG_14069,A0A0C9W4G2,0.7271,0.252,0.0004251,990650,Sphaerobolus stellatus SS14,0.573,Apoplastic,uniprot50,0.182978723,0.255813953,9621.73534,0,NO_SP,4.545454545
FOXG_17307,X0IVL1,0.7271,0.333,0.0003075,1089451,Fusarium odoratissimum NRRL 54006,0.931,Apoplastic,uniprot50,0.253061224,0.538461538,21063.90864,0,SP,3.10880829
FOXG_14069,A0A067MUU3,0.7269,0.233,0.0001176,930990,Botryobasidium botryosum FD-172 SS1,0.573,Apoplastic,uniprot50,0.176271186,0.342105263,29575.31024,0,SP,1.694915254
FOXG_14570,A0A2S7NVD0,0.7268,0.224,0.0001775,2070414,Rutstroemia sp. NJR-2017a BBW,0.861,Cytoplasmic,uniprot50,0.207627119,0.268292683,28540.64774,1,NO_SP,0.398406375
FOXG_14069,A0A0J0XN24,0.7264,0.262,0.0006251,879819,Cutaneotrichosporon oleaginosum,0.573,Apoplastic,uniprot50,0.140684411,0.315789474,26246.88994,1,SP,1.515151515
FOXG_14069,E2LJS9,0.7263,0.327,0.0005155,554373,Moniliophthora perniciosa FA553,0.573,Apoplastic,uniprot50,0.152466368,0.358974359,13225.99184,0,NO_SP,2.586206897
FOXG_20914,A0A2K0UUP6,0.7259,0.212,0.0001072,42673,Fusarium nygamai,0.5915,Apoplastic/cytoplasmic,uniprot50,0.200668896,0.241758242,34025.08794,0,NO_SP,2.006688963
FOXG_14570,A0A0H2UF94,0.7212,0.173,0.0003238,644358,Magnaporthiopsis poae ATCC 64411,0.861,Cytoplasmic,uniprot50,0.216216216,0.240506329,28998.51294,1,NO_SP,1.930501931
FOXG_12469,A0A166BA07,0.7187,0.308,0.0001121,1314672,Peniophora sp. CONT,0.58,Apoplastic,uniprot50,0.186956522,0.345454545,17744.77914,0,NO_SP,2.873563218
FOXG_12469,A0A0N7LB66,0.7179,0.236,0.0003352,401625,Ceraceosorus bombacis,0.58,Apoplastic,uniprot50,0.208510638,0.279069767,10283.74804,0,NO_SP,4.081632653
FOXG_20914,A0A1C1CAT6,0.7179,0.254,1.34E-09,86049,Cladophialophora carrionii,0.5915,Apoplastic/cytoplasmic,proteome,0.101190476,0.316831683,123181.3982,0,NO_SP,2.508960573
FOXG_14069,A0A0N7LB66,0.7178,0.228,0.0003987,401625,Ceraceosorus bombacis,0.573,Apoplastic,uniprot50,0.182978723,0.279069767,10283.74804,0,NO_SP,4.081632653
FOXG_12469,A0A238FC85,0.7162,0.134,0.0001196,269621,Microbotryum intermedium,0.58,Apoplastic,uniprot50,0.122362869,0.238095238,24962.77574,0,NO_SP,3.463203463
FOXG_14069,A0A238FC85,0.7158,0.117,0.0002097,269621,Microbotryum intermedium,0.573,Apoplastic,uniprot50,0.122362869,0.19047619,24962.77574,0,NO_SP,3.463203463
FOXG_12469,A0A1Q3EMP8,0.7154,0.264,0.000681,5353,Lentinula edodes,0.58,Apoplastic,uniprot50,0.103305785,0.254237288,24617.00984,0,NO_SP,1.680672269
FOXG_14570,A0A5N7EZ44,0.7127,0.207,0.0009433,1825620,Aspergillus pseudocaelatus,0.861,Cytoplasmic,uniprot50,0.175637394,0.201834862,43642.00054,0,NO_SP,2.638522427
FOXG_14882,A0A093ZW93,0.7079,0.184,0.0001654,1420906,Pseudogymnoascus sp. VKM F-4281 (FW-2241),0.803,Apoplastic,uniprot50,0.16374269,0.224489796,18562.69814,0,NO_SP,3.529411765
FOXG_20914,A0A6A6RT61,0.7076,0.191,0.0002372,1395130,Massarina eburnea CBS 473.64,0.5915,Apoplastic/cytoplasmic,uniprot50,0.098311817,0.266666667,115916.4432,0,NO_SP,1.750972763
FOXG_02842,A0A5Q3FPZ4,0.7068,0.272,0.0003993,5127,Fusarium fujikuroi,0.636,Apoplastic/cytoplasmic,uniprot50,NA,NA,18.01524,NA,NA,NA
FOXG_20914,A0A0D2F206,0.7055,0.211,1.81E-06,1442368,Fonsecaea pedrosoi CBS 271.37,0.5915,Apoplastic/cytoplasmic,proteome,0.128595601,0.326732673,66319.74034,0,NO_SP,1.83639399
FOXG_20914,A0A6A6DMB6,0.7054,0.188,0.0001003,1314779,Zopfia rhizophila CBS 207.26,0.5915,Apoplastic/cytoplasmic,uniprot50,0.177777778,0.235772358,41305.27484,0,NO_SP,2.222222222
FOXG_14069,A0A0C4EZR7,0.7037,0.14,0.0004533,630390,Puccinia triticina 1-1 BBBD Race 1,0.573,Apoplastic,uniprot50,0.165919283,0.170731707,11549.10834,0,NO_SP,6.481481481
FOXG_17307,A0A175VYR5,0.7037,0.554,6.96E-14,100816,Madurella mycetomatis,0.931,Apoplastic,proteome,0.338645418,0.632075472,26101.05034,0,SP,2.822580645
FOXG_15875,A0A093ZW93,0.7036,0.173,0.0001551,1420906,Pseudogymnoascus sp. VKM F-4281 (FW-2241),0.803,Apoplastic,uniprot50,0.16374269,0.224489796,18562.69814,0,NO_SP,3.529411765
FOXG_12469,E2L3C8,0.7031,0.24,0.0001547,554373,Moniliophthora perniciosa FA553,0.58,Apoplastic,uniprot50,0.228971963,0.276595745,11198.60704,0,NO_SP,3.773584906
FOXG_14069,A0A109FCY2,0.7026,0.156,0.0005862,1305733,Rhodotorula sp. JG-1b,0.573,Apoplastic,uniprot50,0.207048458,0.384615385,14323.91944,0,NO_SP,1.503759398
FOXG_14069,A0A166BA07,0.7016,0.317,0.0002236,1314672,Peniophora sp. CONT,0.573,Apoplastic,uniprot50,0.191304348,0.363636364,17744.77914,0,NO_SP,2.873563218
FOXG_17307,A0A094AIR3,0.7016,0.344,0.0001052,1437433,Pseudogymnoascus sp. VKM F-3557,0.931,Apoplastic,uniprot50,0.146424518,0.448275862,95800.45204,0,SP,2.038505096
FOXG_14882,N4VKF1,0.7013,0.186,0.0009089,1213857,Colletotrichum orbiculare MAFF 240422,0.803,Apoplastic,uniprot50,0.206521739,0.204081633,19646.65104,0,SP,4.347826087
FOXG_14069,A0A5C5G2K2,0.7008,0.257,0.0001729,5288,Rhodotorula diobovata,0.573,Apoplastic,uniprot50,0.168831169,0.305084746,15922.68044,0,NO_SP,5.882352941
FOXG_12469,A0A5C5G2K2,0.7006,0.247,0.000176,5288,Rhodotorula diobovata,0.58,Apoplastic,uniprot50,0.168831169,0.305084746,15922.68044,0,NO_SP,5.882352941
FOXG_14570,M7TXD1,0.699,0.289,0.0001358,1287681,Eutypa lata UCREL1,0.861,Cytoplasmic,uniprot50,0.174731183,0.293103448,42136.29114,0,NO_SP,1.063829787
FOXG_14570,A0A094HNM2,0.6985,0.256,0.0002833,1420914,Pseudogymnoascus sp. VKM F-4519 (FW-2642),0.861,Cytoplasmic,uniprot50,0.098540146,0.265822785,96075.92074,9,NO_SP,1.379310345
FOXG_12469,A0A6A4I102,0.6983,0.279,0.0001275,1447944,Gymnopus androsaceus JB14,0.58,Apoplastic,uniprot50,0.163701068,0.397727273,27780.28954,0,NO_SP,1.779359431
FOXG_20914,A0A1J9REZ4,0.6971,0.23,0.0002534,236234,Diplodia corticola,0.5915,Apoplastic/cytoplasmic,uniprot50,0.129496403,0.277108434,61513.58284,0,NO_SP,2.338129496
FOXG_14570,A0A5N7API5,0.6969,0.198,0.0001452,61420,Aspergillus caelatus,0.861,Cytoplasmic,uniprot50,0.172839506,0.211009174,37200.54404,0,NO_SP,1.851851852
FOXG_12469,A0A0D0E2I8,0.6945,0.19,0.0004067,930991,Paxillus rubicundulus Ve08.2h10,0.58,Apoplastic,uniprot50,0.158119658,0.203389831,21900.23384,0,NO_SP,1.941747573
FOXG_12469,A0A0B7KMB5,0.6944,0.29,0.0005263,29856,Clonostachys rosea,0.58,Apoplastic,uniprot50,0.200854701,0.357142857,13472.16424,0,NO_SP,2.380952381
FOXG_17307,G9NB57,0.6944,0.247,0.0002151,413071,Trichoderma virens Gv29-8,0.931,Apoplastic,uniprot50,0.215189873,0.314814815,16626.78214,0,SP,5.369127517
FOXG_12469,A0A150V1J0,0.6936,0.216,0.0001196,766039,Acidomyces richmondensis BFW,0.58,Apoplastic,uniprot50,0.144680851,0.222222222,22948.66694,0,NO_SP,2.816901408
FOXG_14069,A0A0D0E2I8,0.6933,0.19,0.0004533,930991,Paxillus rubicundulus Ve08.2h10,0.573,Apoplastic,uniprot50,0.153846154,0.203389831,21900.23384,0,NO_SP,1.941747573
FOXG_14069,A0A427XHJ5,0.693,0.252,0.0001966,105984,Apiotrichum porosum,0.573,Apoplastic,uniprot50,0.164179104,0.35,27013.73124,0,SP,1.858736059
FOXG_20914,A0A177CJV0,0.6926,0.169,0.0001003,1460663,Paraphaeosphaeria sporulosa,0.5915,Apoplastic/cytoplasmic,uniprot50,0.104525862,0.181818182,106837.8301,0,NO_SP,1.041666667
FOXG_20914,A0A0D2H9R1,0.6921,0.239,2.96E-09,1442368,Fonsecaea pedrosoi CBS 271.37,0.5915,Apoplastic/cytoplasmic,proteome,0.127366609,0.264150943,65294.32844,0,NO_SP,1.376936317
FOXG_12469,A0A316W166,0.692,0.22,0.000176,1522189,Ceraceosorus guamensis,0.58,Apoplastic,uniprot50,0.225531915,0.279069767,11123.77534,0,NO_SP,3.80952381
FOXG_20914,A0A444RL89,0.6919,0.216,0.0001224,27337,Verticillium dahliae,0.5915,Apoplastic/cytoplasmic,uniprot50,0.176470588,0.214876033,42800.53924,0,NO_SP,2.806122449
FOXG_02842,X0IXV2,0.6913,0.28,0.0003759,1089451,Fusarium odoratissimum NRRL 54006,0.636,Apoplastic/cytoplasmic,uniprot50,0.153005464,0.3375,57536.26334,0,SP,1.821493625
FOXG_14069,A0A180G9Q6,0.6909,0.24,0.0005862,630390,Puccinia triticina 1-1 BBBD Race 1,0.573,Apoplastic,uniprot50,0.172839506,0.411764706,36864.78244,0,SP,1.212121212
FOXG_14069,A0A5C3MP91,0.6908,0.145,0.0004251,5364,Heliocybe sulcata,0.573,Apoplastic,uniprot50,0.204255319,0.4375,18272.10044,0,SP,1.183431953
FOXG_02842,A0A1J7I6Z8,0.6893,0.186,0.0007762,1408157,Coniochaeta ligniaria NRRL 30616,0.636,Apoplastic/cytoplasmic,uniprot50,0.172413793,0.194174757,53784.53594,1,SP,4.597701149
FOXG_12469,A0A5C5G551,0.6893,0.151,0.0006385,5288,Rhodotorula diobovata,0.58,Apoplastic,uniprot50,0.150579151,0.25,27326.80904,0,SP,3.474903475
FOXG_14570,A0A094GC71,0.6893,0.207,0.0001188,1420913,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.861,Cytoplasmic,uniprot50,0.179487179,0.205357143,22634.17784,1,NO_SP,1.020408163
