"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","query_prediction","query_effector_type_score","target_prediction"
"60","FOXG_11815","FOXG_21467",0.8444,0.3612,0.238,21,16,0,216,236,14,34,8.733,9,"Non-effector",0.843,"Non-effector"
"61","FOXG_12405","FOXG_01344",0.8314,0.6642,0.12,25,22,0,66,90,81,105,9.505,6,"Non-effector",0.684,"Non-effector"
"62","FOXG_21467","FOXG_11815",0.8308,0.7426,0.25,20,15,0,15,34,217,236,6.959,8,"Non-effector",0.756,"Non-effector"
"63","FOXG_19337","FOXG_15934",0.7968,0.8122,0.178,28,23,0,7,34,74,101,6.944,8,"Non-effector",0.783,"Non-effector"
"64","FOXG_17980","FOXG_19337",0.7909,0.8367,0.153,26,22,0,3,28,9,34,7.503,8,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"65","FOXG_19337","FOXG_17980",0.7909,0.7643,0.153,26,22,0,9,34,3,28,5.884,10,"Non-effector",0.783,"Apoplastic/cytoplasmic"
"66","FOXG_19337","FOXG_16416",0.7581,0.2209,0.6,5,2,0,28,32,31,35,9.619,2,"Non-effector",0.783,"Apoplastic"
"67","FOXG_22058","FOXG_01344",0.7373,0.4261,0.142,28,24,0,174,201,236,263,4.361,14,"Apoplastic",0.639,"Non-effector"
"68","FOXG_03043","FOXG_14570",0.694,0.6735,0.131,38,32,1,224,261,2,38,4.505,15,"Non-effector",0.84,"Cytoplasmic"
"69","FOXG_07716","FOXG_16398",0.6937,0.7459,0.2,20,16,0,2,21,3,22,8.105,7,"Non-effector",0.839,"Non-effector"
"70","FOXG_15934","FOXG_17980",0.6884,0.7087,0.235,34,26,0,76,109,4,37,6.096,9,"Non-effector",0.809,"Apoplastic/cytoplasmic"
"71","FOXG_17980","FOXG_15934",0.6884,0.8296,0.235,34,26,0,4,37,76,109,3.88,13,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"72","FOXG_09662","FOXG_11815",0.6871,0.2819,0.153,13,11,0,307,319,294,306,7.655,5,"Apoplastic",0.604,"Non-effector"
"73","FOXG_15934","FOXG_19337",0.6853,0.7109,0.147,34,29,0,68,101,1,34,8.194,6,"Non-effector",0.809,"Non-effector"
"74","FOXG_12469","FOXG_07142",0.6611,0.07621,0.428,7,4,0,132,138,218,224,7.761,2,"Apoplastic",0.58,"Non-effector"
"75","FOXG_19337","FOXG_06418",0.6595,0.7316,0.233,30,23,0,9,38,4,33,8.875,5,"Non-effector",0.783,"Non-effector"
"76","FOXG_14069","FOXG_07142",0.6575,0.07495,0.428,7,4,0,132,138,218,224,7.78,2,"Apoplastic",0.573,"Non-effector"
"77","FOXG_21467","FOXG_17259",0.6494,0.7451,0.156,32,26,1,17,47,48,79,6.414,8,"Non-effector",0.756,"Cytoplasmic"
"78","FOXG_15903","FOXG_14758",0.6442,0.7533,0.19,21,17,0,1,21,2,22,7.351,6,"Cytoplasmic",0.763,"Non-effector"
"79","FOXG_19337","FOXG_06620",0.6367,0.6967,0.142,28,24,0,13,40,30,57,8.183,5,"Non-effector",0.783,"Cytoplasmic"
"80","FOXG_11815","FOXG_15903",0.6334,0.3235,0.28,25,18,0,217,241,8,32,9.478,6,"Non-effector",0.843,"Cytoplasmic"
"81","FOXG_22058","FOXG_22193",0.6256,0.7464,0.829,158,24,2,1,158,1,155,7.786e-23,645,"Apoplastic",0.639,"Cytoplasmic"
"82","FOXG_22777","FOXG_16398",0.6242,0.4698,0.285,14,10,0,46,59,84,97,8.179,6,"Apoplastic",0.73,"Non-effector"
"83","FOXG_03043","FOXG_22047",0.6218,0.5654,0.142,14,12,0,180,193,58,71,7.409,8,"Non-effector",0.84,"Apoplastic"
"84","FOXG_14231","FOXG_22047",0.6164,0.2787,0.214,14,10,1,62,74,58,71,3.726,10,"Cytoplasmic",0.77,"Apoplastic"
"85","FOXG_06911","FOXG_14570",0.6105,0.6471,0.461,13,7,0,1,13,1,13,8.628,7,"Non-effector",0.73,"Cytoplasmic"
"86","FOXG_14069","FOXG_22509",0.6079,0.5771,0.14,135,93,8,113,235,1,124,4.453e-05,119,"Apoplastic",0.573,"Non-effector"
"87","FOXG_22509","FOXG_14069",0.6079,0.6266,0.14,135,93,8,1,124,113,235,0.0001514,121,"Non-effector",0.623,"Apoplastic"
"88","FOXG_14570","FOXG_17259",0.6075,0.4928,0.125,24,19,1,92,115,41,62,9.746,4,"Cytoplasmic",0.861,"Cytoplasmic"
"89","FOXG_17259","FOXG_14570",0.6075,0.4827,0.125,24,19,1,41,62,92,115,9.722,4,"Cytoplasmic",0.739,"Cytoplasmic"
"90","FOXG_19337","FOXG_05604",0.6026,0.652,0.266,15,11,0,34,48,377,391,8.183,5,"Non-effector",0.783,"Non-effector"
"91","FOXG_22509","FOXG_12469",0.601,0.56,0.148,128,86,8,10,124,118,235,0.0002037,111,"Non-effector",0.623,"Apoplastic"
"92","FOXG_12469","FOXG_22509",0.5995,0.5682,0.138,130,89,8,118,235,6,124,4.573e-05,116,"Apoplastic",0.58,"Non-effector"
"93","FOXG_14570","FOXG_20259",0.5978,0.5736,0.157,19,16,0,101,119,7,25,9.746,5,"Cytoplasmic",0.861,"Apoplastic"
"94","FOXG_22193","FOXG_22058",0.5938,0.8321,0.772,167,35,2,1,166,1,165,4.317e-23,644,"Cytoplasmic",0.766,"Apoplastic"
"95","FOXG_02842","FOXG_22058",0.5923,0.5491,0.192,83,54,8,55,133,208,281,0.003848,79,"Apoplastic/cytoplasmic",0.636,"Apoplastic"
"96","FOXG_22058","FOXG_02842",0.5923,0.5184,0.192,83,54,8,208,281,55,133,0.004948,79,"Apoplastic",0.639,"Apoplastic/cytoplasmic"
"97","FOXG_19337","FOXG_22737",0.5875,0.7259,0.115,26,23,0,9,34,7,32,9.619,4,"Non-effector",0.783,"Non-effector"
"98","FOXG_17980","FOXG_16398",0.5873,0.6817,0.083,24,22,0,10,33,5,28,8.82,5,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"99","FOXG_14758","FOXG_18382",0.5865,0.6081,0.083,24,22,0,139,162,17,40,9.274,7,"Non-effector",0.676,"Cytoplasmic"
"100","FOXG_18382","FOXG_14758",0.5865,0.5253,0.083,24,22,0,17,40,139,162,6.409,9,"Cytoplasmic",0.594,"Non-effector"
"101","FOXG_21467","FOXG_17980",0.5824,0.7227,0.1,30,27,0,17,46,4,33,5.015,9,"Non-effector",0.756,"Apoplastic/cytoplasmic"
"102","FOXG_01357","FOXG_06418",0.5735,0.4191,0.233,30,23,0,71,100,3,32,5.809,6,"Non-effector",0.692,"Non-effector"
"103","FOXG_17259","FOXG_21467",0.5665,0.687,0.166,42,35,0,48,89,17,58,6.183,9,"Cytoplasmic",0.739,"Non-effector"
"104","FOXG_21467","FOXG_22801",0.5641,0.7036,0.23,26,20,0,15,40,91,116,6.959,6,"Non-effector",0.756,"Non-effector"
"105","FOXG_21467","FOXG_09662",0.5593,0.558,0.272,11,8,0,38,48,152,162,6.959,6,"Non-effector",0.756,"Apoplastic"
"106","FOXG_07142","FOXG_19337",0.555,0.2504,0.346,26,15,2,139,162,8,33,8.621,4,"Non-effector",0.577,"Non-effector"
"107","FOXG_19337","FOXG_07142",0.555,0.6471,0.346,26,15,2,8,33,139,162,9.619,4,"Non-effector",0.783,"Non-effector"
"108","FOXG_06911","FOXG_17842",0.5544,0.2366,0.058,17,15,1,524,540,87,102,9.151,3,"Non-effector",0.73,"Non-effector"
"109","FOXG_06911","FOXG_22047",0.5538,0.5032,0.13,146,98,6,461,604,2,120,0.000928,85,"Non-effector",0.73,"Apoplastic"
"110","FOXG_22047","FOXG_06911",0.5538,0.5382,0.129,147,99,6,1,120,460,604,0.0002494,97,"Apoplastic",0.708,"Non-effector"
"111","FOXG_06620","FOXG_15903",0.5516,0.5397,0.062,32,30,0,26,57,1,32,8.231,4,"Cytoplasmic",0.514,"Cytoplasmic"
"112","FOXG_07716","FOXG_22058",0.5468,0.4453,0.357,14,9,0,8,21,5,18,8.728,4,"Non-effector",0.839,"Apoplastic"
"113","FOXG_14231","FOXG_22058",0.5448,0.2824,0.277,18,12,1,57,74,35,51,3.726,10,"Cytoplasmic",0.77,"Apoplastic"
"114","FOXG_22058","FOXG_14231",0.5448,0.2254,0.277,18,12,1,35,51,57,74,2.613,11,"Apoplastic",0.639,"Cytoplasmic"
"115","FOXG_14231","FOXG_22193",0.5411,0.2817,0.277,18,12,1,57,74,35,51,6.814,6,"Cytoplasmic",0.77,"Cytoplasmic"
"116","FOXG_14570","FOXG_12450",0.5346,0.5583,0.157,19,16,0,100,118,95,113,6.599,8,"Cytoplasmic",0.861,"Apoplastic"
"117","FOXG_05795","FOXG_11815",0.5284,0.1407,0.222,9,7,0,79,87,299,307,9.834,3,"Non-effector",0.802,"Non-effector"
"118","FOXG_17980","FOXG_20490",0.5245,0.7535,0.121,41,27,1,1,32,1,41,9.554,4,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"119","FOXG_22779","FOXG_22777",0.5215,0.1504,0.2,10,8,0,61,70,82,91,8.759,3,"Apoplastic/cytoplasmic",0.9425,"Apoplastic"
"120","FOXG_12469","FOXG_14069",0.5212,0.9706,0.982,235,4,0,1,235,1,235,1.403e-44,1146,"Apoplastic",0.58,"Apoplastic"
"121","FOXG_14069","FOXG_12469",0.5212,0.9687,0.982,235,4,0,1,235,1,235,1.899e-44,1145,"Apoplastic",0.573,"Apoplastic"
"122","FOXG_14570","FOXG_12405",0.5174,0.4404,0.166,30,25,0,46,75,63,92,9.746,4,"Cytoplasmic",0.861,"Non-effector"
"123","FOXG_21467","FOXG_15934",0.5171,0.7517,0.157,38,32,0,15,52,74,111,3.917,11,"Non-effector",0.756,"Non-effector"
"124","FOXG_15934","FOXG_16398",0.5144,0.5303,0.25,28,20,1,35,62,4,30,6.096,7,"Non-effector",0.809,"Non-effector"
"125","FOXG_20259","FOXG_22058",0.5127,0.4554,0.2,30,22,1,11,40,150,177,4.938,8,"Apoplastic",0.593,"Apoplastic"
"126","FOXG_12405","FOXG_20490",0.5126,0.53,0.225,31,24,0,66,96,98,128,5.535,8,"Non-effector",0.684,"Non-effector"
"127","FOXG_01683","FOXG_19337",0.5117,0.3731,0.236,38,26,2,94,128,9,46,8.511,5,"Non-effector",0.636,"Non-effector"
"128","FOXG_03043","FOXG_19337",0.5099,0.6744,0.191,47,35,1,7,53,4,47,8.901,6,"Non-effector",0.84,"Non-effector"
"129","FOXG_22058","FOXG_22864",0.5097,0.3745,0.218,32,22,1,175,203,67,98,7.249,6,"Apoplastic",0.639,"Non-effector"
"130","FOXG_12450","FOXG_17307",0.5061,0.723,0.375,16,10,0,6,21,1,16,8.269,7,"Apoplastic",0.629,"Apoplastic"
"131","FOXG_15934","FOXG_21467",0.5058,0.712,0.153,39,33,0,74,112,15,53,2.477,15,"Non-effector",0.809,"Non-effector"
"132","FOXG_20862","FOXG_22047",0.5039,0.4965,0.11,127,95,8,194,313,2,117,0.0003358,87,"Non-effector",0.633,"Apoplastic"
"133","FOXG_21467","FOXG_20490",0.4985,0.7217,0.175,40,31,1,6,45,3,40,6.414,7,"Non-effector",0.756,"Non-effector"
"134","FOXG_21467","FOXG_14570",0.4971,0.6924,0.179,39,27,1,6,39,2,40,6.959,6,"Non-effector",0.756,"Cytoplasmic"
"135","FOXG_22047","FOXG_20862",0.4955,0.569,0.121,132,90,9,1,117,193,313,8.041e-05,104,"Apoplastic",0.708,"Non-effector"
"136","FOXG_13589","FOXG_22737",0.4944,0.3447,0,33,29,2,62,93,241,270,4.013,9,"Non-effector",0.535,"Non-effector"
"137","FOXG_22737","FOXG_13589",0.4944,0.2124,0,33,29,2,241,270,62,93,5.37,8,"Non-effector",0.987,"Non-effector"
"138","FOXG_19612","FOXG_16398",0.493,0.7507,0.138,36,28,1,3,38,1,33,6.001,9,"Cytoplasmic",0.763,"Non-effector"
"139","FOXG_17307","FOXG_12450",0.4924,0.742,0.333,18,12,0,1,18,6,23,7.832,8,"Apoplastic",0.931,"Apoplastic"
"140","FOXG_11815","FOXG_22777",0.4902,0.2555,0.25,8,6,0,301,308,75,82,9.87,4,"Non-effector",0.843,"Apoplastic"
"141","FOXG_21467","FOXG_03043",0.4894,0.7297,0.333,39,25,1,7,45,2,39,1.578,17,"Non-effector",0.756,"Non-effector"
"142","FOXG_03043","FOXG_16416",0.4854,0.5752,0.102,39,24,1,177,204,110,148,4.796,11,"Non-effector",0.84,"Apoplastic"
"143","FOXG_21467","FOXG_22047",0.4833,0.5635,0.272,11,8,0,38,48,6,16,7.547,5,"Non-effector",0.756,"Apoplastic"
"144","FOXG_18382","FOXG_05604",0.4826,0.5875,0.146,41,35,0,6,46,382,422,1.49,21,"Cytoplasmic",0.594,"Non-effector"
"145","FOXG_07142","FOXG_14758",0.4815,0.2095,0.192,26,19,1,147,170,9,34,8.621,3,"Non-effector",0.577,"Non-effector"
"146","FOXG_19337","FOXG_14570",0.4805,0.743,0.23,39,29,1,12,50,2,39,5.884,7,"Non-effector",0.783,"Cytoplasmic"
"147","FOXG_15903","FOXG_19337",0.4801,0.6267,0.25,40,26,1,4,39,9,48,4.812,8,"Cytoplasmic",0.763,"Non-effector"
"148","FOXG_19337","FOXG_15903",0.4801,0.5783,0.25,40,26,1,9,48,4,39,4.216,8,"Non-effector",0.783,"Cytoplasmic"
"149","FOXG_17980","FOXG_04559",0.4761,0.6846,0.571,7,3,0,44,50,70,76,6.915,6,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"150","FOXG_17259","FOXG_22828",0.4729,0.5816,0.2,25,20,0,103,127,88,112,2.294,16,"Cytoplasmic",0.739,"Non-effector"
"151","FOXG_22193","FOXG_20490",0.4713,0.6749,0.363,22,14,0,2,23,110,131,6.596,9,"Cytoplasmic",0.766,"Non-effector"
"152","FOXG_19337","FOXG_03043",0.4706,0.7129,0.209,43,31,1,8,47,11,53,9.619,4,"Non-effector",0.783,"Non-effector"
"153","FOXG_15903","FOXG_17980",0.4699,0.7911,0.136,44,36,1,1,44,1,42,2.645,13,"Cytoplasmic",0.763,"Apoplastic/cytoplasmic"
"154","FOXG_17980","FOXG_15903",0.4699,0.7955,0.136,44,36,1,1,42,1,44,4.215,10,"Apoplastic/cytoplasmic",0.5965,"Cytoplasmic"
"155","FOXG_20259","FOXG_22801",0.4672,0.3639,0.2,25,17,1,8,29,23,47,9.297,3,"Apoplastic",0.593,"Non-effector"
"156","FOXG_22560","FOXG_22828",0.4641,0.1447,0.285,7,5,0,46,52,58,64,6.15,3,"Apoplastic",0.801,"Non-effector"
"157","FOXG_22828","FOXG_22560",0.4641,0.08368,0.285,7,5,0,58,64,46,52,7.243,2,"Non-effector",0.582,"Apoplastic"
"158","FOXG_01683","FOXG_17980",0.462,0.327,0.131,38,29,1,94,131,9,42,9.591,3,"Non-effector",0.636,"Apoplastic/cytoplasmic"
"159","FOXG_03043","FOXG_18382",0.4576,0.637,0.125,32,23,1,170,201,14,40,2.905,15,"Non-effector",0.84,"Cytoplasmic"
"160","FOXG_01683","FOXG_15903",0.4567,0.2945,0.135,37,26,1,94,130,8,38,9.591,3,"Non-effector",0.636,"Cytoplasmic"
"161","FOXG_22801","FOXG_20259",0.456,0.337,0.192,26,18,1,23,48,8,30,9.964,4,"Non-effector",0.709,"Apoplastic"
"162","FOXG_05604","FOXG_18382",0.4549,0.2477,0.133,45,39,0,378,422,2,46,1.179,17,"Non-effector",0.863,"Cytoplasmic"
"163","FOXG_06620","FOXG_07716",0.4522,0.4439,0.179,39,27,1,14,47,39,77,9.641,3,"Cytoplasmic",0.514,"Non-effector"
"164","FOXG_20862","FOXG_20914",0.452,0.1909,0.137,29,23,1,268,296,107,133,7.516,4,"Non-effector",0.633,"Apoplastic/cytoplasmic"
"165","FOXG_03736","FOXG_17259",0.4501,0.2799,0.148,27,16,3,698,717,20,46,8.648,4,"Non-effector",0.961,"Cytoplasmic"
"166","FOXG_22047","FOXG_17307",0.4449,0.6024,0.142,28,20,1,1,24,1,28,5.468,9,"Apoplastic",0.708,"Apoplastic"
"167","FOXG_17980","FOXG_22828",0.4431,0.6327,0.333,21,14,0,16,36,88,108,4.975,7,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"168","FOXG_02842","FOXG_22193",0.4415,0.4345,0.216,74,42,4,56,121,52,117,0.01851,49,"Apoplastic/cytoplasmic",0.636,"Cytoplasmic"
"169","FOXG_06911","FOXG_20490",0.4402,0.5463,0.266,15,11,0,2,16,111,125,9.151,5,"Non-effector",0.73,"Non-effector"
"170","FOXG_15934","FOXG_20259",0.4401,0.6095,0.14,50,33,1,73,112,1,50,8.815,4,"Non-effector",0.809,"Apoplastic"
"171","FOXG_20259","FOXG_15934",0.4401,0.5025,0.14,50,33,1,1,50,73,112,7.037,6,"Apoplastic",0.593,"Non-effector"
"172","FOXG_01683","FOXG_22193",0.4362,0.3141,0.128,39,29,1,78,111,102,140,6.674,5,"Non-effector",0.636,"Cytoplasmic"
"173","FOXG_05795","FOXG_20862",0.4332,0.4993,0.218,32,24,1,5,36,1,31,6.326,9,"Non-effector",0.802,"Non-effector"
"174","FOXG_20862","FOXG_05795",0.4332,0.5082,0.218,32,24,1,1,31,5,36,2.467,15,"Non-effector",0.633,"Non-effector"
"175","FOXG_03043","FOXG_13589",0.433,0.5397,0.214,42,33,0,179,220,74,115,5.105,9,"Non-effector",0.84,"Non-effector"
"176","FOXG_20490","FOXG_21467",0.4317,0.4079,0.256,39,27,2,9,45,13,51,6.679,6,"Non-effector",0.754,"Non-effector"
"177","FOXG_12450","FOXG_01357",0.4302,0.4296,0.172,29,22,1,96,124,11,37,9.366,4,"Apoplastic",0.629,"Non-effector"
"178","FOXG_22193","FOXG_22777",0.4296,0.2691,0.166,24,19,1,35,57,42,65,4.916,7,"Cytoplasmic",0.766,"Apoplastic"
"179","FOXG_22777","FOXG_22193",0.4296,0.4191,0.166,24,19,1,42,65,35,57,4.574,8,"Apoplastic",0.73,"Cytoplasmic"
"180","FOXG_14069","FOXG_22193",0.4288,0.1284,0,11,11,0,224,234,92,102,9.968,2,"Apoplastic",0.573,"Cytoplasmic"
"181","FOXG_09662","FOXG_22047",0.4275,0.4899,0.12,25,22,0,147,171,1,25,8.693,5,"Apoplastic",0.604,"Apoplastic"
"182","FOXG_22047","FOXG_09662",0.4275,0.6031,0.12,25,22,0,1,25,147,171,4.826,10,"Apoplastic",0.708,"Apoplastic"
"183","FOXG_18382","FOXG_01683",0.4262,0.5361,0.153,39,28,3,19,57,50,83,5.347,9,"Cytoplasmic",0.594,"Non-effector"
"184","FOXG_06911","FOXG_13589",0.4232,0.3986,0.178,84,59,4,460,540,2,78,8.132,5,"Non-effector",0.73,"Non-effector"
"185","FOXG_17980","FOXG_21467",0.418,0.6965,0.127,47,36,2,3,47,16,59,2.562,12,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"186","FOXG_17307","FOXG_22509",0.4177,0.4095,0.352,34,22,0,4,37,1,34,1.889,15,"Apoplastic",0.931,"Non-effector"
"187","FOXG_22509","FOXG_17307",0.4177,0.4755,0.352,34,22,0,1,34,4,37,2.559,14,"Non-effector",0.623,"Apoplastic"
"188","FOXG_12405","FOXG_07716",0.4152,0.5605,0.111,54,48,0,38,91,28,81,6.346,7,"Non-effector",0.684,"Non-effector"
